Hari,Skor
1,-1.0484512419257621
2,-0.846383761719371
3,-40.85698500014286
4,-31.11268505660459
5,-671147.8621372978
6,-85659.49569709894
7,-2962.309899149825
8,-4385.6490209503045
9,-5881.872267145468
10,-6086.414592837273
11,-10640.559584504806
12,-8188.118326780822
13,-6180.29995260453
14,-2769.369193616339
15,-593.6498992712899
16,-182.51732449392486
17,-6.981246904438998
18,-809.9833506958041
19,-139.45709395191037
20,-160.3487917965567
21,-866.4830889112287
22,-68.95304589557135
23,-65.98293796817863
24,-18.317879224462935
25,-7.108474531436952
26,-2.7927779591868194
27,-2.25034678434933
28,-1.6245854394489676
29,0.08613950283988292
30,-1.756355525041371
31,-10.884687703189078
32,-24.568279810797474
33,-11.179371588645513
34,-6.455177561276115
35,-7.059359545618076
36,-1.7511250114966215
37,-0.04582993700617033
38,-1.245862210918677
39,0.3030249629221464
40,0.05605807607562019
41,0.10777643149697458
42,-2.2324398733412565
43,-3.0940049725519083
44,-2.440472564479032
45,-0.9184727315735475
46,-5.053304255349687
47,-6.117610281369311
48,-4.221212903495764
49,-3.7089474109809704
50,-4.555714891821969
51,-5.37610090964469
52,-4.1885206049020995
53,-4.595948643197994
54,-3.8554731634791386
55,-3.926286469076632
56,-2.7292517496941504
57,-3.908264092440837
58,-2.042402357369179
59,-2.249863665831513
60,-1.6691461188642789
61,-2.46507449158395
62,-1.5027516430733185
63,-1.253791953136564
64,-1.3963709596042189
65,-0.9837650331903667
66,-0.8293839057934724
67,-0.5654448763830704
68,-0.19214312496469477
69,0.08144907127159329
70,0.11007546669194324
71,0.10181975051344361
72,0.2688477295656362
73,0.1771200684954748
74,0.3425420759796969
75,0.407343608351289
76,0.4048824148524196
77,0.4628074697936565
78,0.5011229414044317
79,0.47464437528077663
80,0.5724078996528819
81,0.674638188050231
82,0.7418463528367243
83,0.811568016270288
84,0.8766900986042018
85,0.8920002295146557
86,0.9657022922279792
87,0.9826361757494521
88,0.9683011182956962
89,0.9899652847074323
90,0.9948680356244226
91,0.9947336177349927
92,0.9954165805739453
93,0.9799215067417522
94,0.9921023304763723
95,0.9700491777640715
96,0.9711309392707823
97,0.9624772082436251
98,0.9625062863782767
99,0.9327369212443095
100,0.958609386186569
101,0.952829209911025
102,0.9399111441754787
103,0.9494980656708564
104,0.9388847576239809
105,0.9409866509759137
106,0.9536746368356038
107,0.9532003001779591
108,0.9432107374259048
109,0.9600045857826712
110,0.9528792187100265
111,0.9592483612326774
112,0.9621701108001561
113,0.9608129442172855
114,0.9632045335552434
115,0.9648735312981399
116,0.9678868730471597
117,0.970460294586244
118,0.9729799821990869
119,0.9752052680497172
120,0.9793134240865926
121,0.9794017759162802
122,0.9810925890629869
123,0.9858483501136094
124,0.9894471107979133
125,0.9894039926871194
126,0.9921015385744933
127,0.9901348715028232
128,0.9925176239878045
129,0.9928584580426147
130,0.9953273479749009
131,0.9947449013588161
132,0.9960833076423844
133,0.9961942634668339
134,0.9969170103812411
135,0.9969520026260065
136,0.9978531674106124
137,0.9977908047112808
138,0.9976573330560676
139,0.9980758544820231
140,0.99821560530687
141,0.99781361693454
142,0.9983650984973665
143,0.9982879032995404
144,0.9983398948586114
145,0.9984841607985097
146,0.9984871686101061
147,0.9985244139103838
148,0.9985244815307505
149,0.9985353691471559
150,0.9985348426579393
