Hari,Skor
1,-0.7376598420295346
2,-0.7376594229879221
3,-0.7376571289120881
4,-0.7376540891538637
5,-0.7376535002386897
6,-0.7376514220166615
7,-0.7376507141474402
8,-0.7376514662724161
9,-0.7376368223277621
10,-0.7376199631547509
11,-0.7376210930203602
12,-0.7376144348980227
13,-0.7376067807686224
14,-0.7375986344410255
15,-0.7375716553290255
16,-0.7375685799463612
17,-0.7375404248766491
18,-0.7374977782295715
19,-0.7374991158500082
20,-0.7374771111313727
21,-0.7374305426878582
22,-0.7374043511182498
23,-0.7374099879150293
24,-0.7374250029818146
25,-0.7373363518653786
26,-0.7372963649471234
27,-0.7372985039839077
28,-0.7372683568756664
29,-0.7372024315450625
30,-0.7371523119684611
31,-0.7370691395828473
32,-0.7370356862131688
33,-0.7369879288439913
34,-0.7369563206834311
35,-0.7367975743483963
36,-0.7367169255967507
37,-0.736660891383415
38,-0.7364869345905727
39,-0.7363489273799926
40,-0.7362477086640253
41,-0.7360423350077303
42,-0.7358586504466362
43,-0.735645643136168
44,-0.7355681541998453
45,-0.7352977476173075
46,-0.7349502823755854
47,-0.7346309539759532
48,-0.7342644235708209
49,-0.7339622401364851
50,-0.733746863068022
51,-0.7334902855690453
52,-0.7334380919329189
53,-0.7321629321977796
54,-0.733080762785085
55,-0.730815854732406
56,-0.7301672990702186
57,-0.7299402642500927
58,-0.7286143370497116
59,-0.727791263191111
60,-0.7274842585792378
61,-0.7268804753397664
62,-0.7256310794252456
63,-0.7242184451279996
64,-0.7225366157486199
65,-0.7202927938099599
66,-0.7224802181777277
67,-0.7158689248383858
68,-0.7154040430523425
69,-0.710797974492037
70,-0.709823089322208
71,-0.7104677663670558
72,-0.6984216770502465
73,-0.6980731289916304
74,-0.691848895929787
75,-0.6889926944609388
76,-0.6865966264347139
77,-0.6854379659272272
78,-0.6649845594023946
79,-0.6573634109076714
80,-0.6528722592806058
81,-0.644760752314318
82,-0.6337124323860324
83,-0.6372943872104915
84,-0.6203074548998122
85,-0.6031031551406971
86,-0.5929790595759914
87,-0.5770620770465171
88,-0.5604776256337971
89,-0.5499364423397157
90,-0.5383736051603141
91,-0.5315040055811917
92,-0.5159508412055442
93,-0.48995107441445906
94,-0.4897018003230764
95,-0.46177621072219144
96,-0.4098244664557602
97,-0.3899502681140312
98,-0.3748150207666372
99,-0.3919164499633325
100,-0.3940007141426969
101,-0.2885634114554374
102,-0.21638089894185764
103,-0.2516798851376649
104,-0.13941131696712739
105,-0.09916032474866077
106,-0.2114482503783499
107,-0.06268828384744052
108,0.052350118182427074
109,0.11479140432222834
110,0.17368606601456404
111,0.1869751250460887
112,0.3126255984359122
113,0.3513567121327805
114,0.4170393752642627
115,0.5407736021248681
116,0.6008735965578166
117,0.640943268496611
118,0.8080931793868731
119,0.8363694782479418
120,0.8274797602529674
121,0.8912954098080722
122,0.9695843381855224
