Hari,Skor
1,-2.791317815739755
2,-2.7907827468422366
3,-2.79071004752133
4,-2.790061862194087
5,-2.7876352199237058
6,-2.7846468692293556
7,-2.782601344670089
8,-2.778505602697469
9,-2.7748887913730993
10,-2.7782467359873775
11,-2.7636185210245747
12,-2.757289373099487
13,-2.7496741873442017
14,-2.741514809240071
15,-2.732593756682017
16,-2.733981746459634
17,-2.7212181191147615
18,-2.7073298652941267
19,-2.7105149034571614
20,-2.7004134312968735
21,-2.654499870192787
22,-2.6493186732594856
23,-2.6929547598462094
24,-2.5893685006100946
25,-2.5875772736611475
26,-2.546407289127865
27,-2.545686719017907
28,-2.523664456126787
29,-2.493176216665385
30,-2.4227033373350513
31,-2.40789303914991
32,-2.3583949033684113
33,-2.344562261821449
34,-2.3189137901943346
35,-2.2899394683427965
36,-2.201104534137897
37,-2.2626120233798006
38,-2.1060860051053165
39,-2.1135097055968197
40,-2.018645650756414
41,-1.9650174191029817
42,-1.9065287840759262
43,-1.8232270409759348
44,-1.7452676962664118
45,-1.68865108319355
46,-1.597051993525623
47,-1.7460491058291305
48,-1.5364815314717468
49,-1.3335451944917889
50,-1.2638435991640886
51,-1.142445542087534
52,-1.19857884854884
53,-0.9663858756739538
54,-0.995981710960707
55,-0.7853693047032835
56,-0.6752977212207196
57,-0.5364413146989764
58,-0.28860830257356374
59,-0.14255048963115735
60,-0.40124017720519056
61,0.05550507473503852
62,0.32843046450376834
63,0.45503376182836697
64,0.4471948224575316
65,0.7464748314047507
66,0.9297135870347131
67,0.9820666969946013
68,0.8061675787559393
