Hari,Skor
1,-7.231198005925771
2,-0.7129279602063052
3,-2524.643590728035
4,-1818.3559382821825
5,-1180871.3189250908
6,-2031.1619464901974
7,-3559.085615446671
8,-14802.140065830818
9,-15529.968589120528
10,-39711.030644493454
11,-11105.151386080963
12,-132000.7526737219
13,-180417.96711909166
14,-31694.728971237128
15,-83314.66514905501
16,-69715.40323278982
17,-54368.23718142918
18,-63302.47160334619
19,-36085.36808556381
20,-9418.88213906735
21,-470.41436440958324
22,-24033.912844763883
23,-13578.058848170134
24,-19425.00002608352
25,-10074.908233186783
26,-27904.699507731075
27,-35377.838299192066
28,-47005.24620120766
29,-42045.01179569802
30,-57520.713761051906
31,-46756.26327530939
32,-43772.6186633471
33,-35224.784134501744
34,-37756.78094852763
35,-27761.725100962267
36,-31653.016988309337
37,-26061.900668054695
38,-22147.449468132098
39,-19816.009898640492
40,-16727.618530233693
41,-14614.433845192396
42,-12289.299982896795
43,-7940.243363168911
44,-8079.410447135417
45,-7991.584699144077
46,-6646.244703513144
47,-5238.268341377211
48,-4066.284989354867
49,-4375.017041092745
50,-2459.3406224879363
51,-1955.2714943871586
52,-2978.2601068996973
53,-1648.2850300154553
54,-1639.5082973693522
55,-971.6848006606086
56,-613.3545711183357
57,-885.7973270377985
58,-450.6498816584742
59,-324.96482117768835
60,-414.8570354394874
61,-260.5522384564122
62,-228.41670612965945
63,-233.77425686967695
64,-135.12482121928542
65,-135.8915268406632
66,-100.04621709490107
67,-95.03739186396139
68,-43.43012699971974
69,-27.474026432555792
70,-9.371315444382288
71,-20.035459366492752
72,-28.9816429781923
73,-7.5687780115571215
74,-11.457364529698895
75,-12.04142276739114
76,-4.693860721197279
77,-2.480309854824018
78,-0.40387219144648845
79,0.9159898417254816
80,0.6202415743637073
81,0.7786871296898302
82,0.5880965512052188
83,-1.5440143560115285
84,0.8594079490169361
85,0.9370030204449692
86,0.9296942841032573
87,-3.1996429779971516
88,-1.2316902567876657
89,0.8111687190613446
90,0.01164506520993358
91,-0.13597579254945003
92,-0.7243633058898027
93,-0.19856941302374165
94,0.25096088424396545
95,-2.0521705760803433
96,0.20584148952037828
97,-0.32985024770552407
98,-0.22465709507849851
99,0.45911955919415237
100,-0.43201600279795094
101,0.18801013362454444
102,-0.605446580179654
103,-0.07301250404386872
104,-0.0815496102903086
105,-0.2800776651101873
106,0.26465455374885727
107,0.47951063256318405
108,0.06507794801240452
109,0.3723546474151038
110,0.4161655571013757
111,0.24387956415218692
112,0.5518417950894572
113,0.44363625382177696
114,0.10990756003747593
115,0.20350646090975988
116,0.61694398038412
117,0.5445516289740797
118,0.6581003951198053
119,0.6275058128093669
120,0.7141907330718326
121,0.7197918353478352
122,0.6750989410215084
123,0.738368802505109
124,0.7685418505919932
125,0.7199981343878439
126,0.7401073259191016
127,0.7447774818849251
128,0.8095710578532394
129,0.8425723791155467
130,0.8216248574665014
131,0.8400773371485316
132,0.8266191225913874
133,0.8305149078491185
134,0.8229284264283934
135,0.8435484601723369
136,0.8812918990179324
137,0.8942038025706812
138,0.9099916786033814
139,0.8994275815079458
140,0.9306831228329262
141,0.918157126302144
142,0.9346630472358282
143,0.928008685306683
144,0.9485838229573084
145,0.9463203093028596
146,0.9506285079667203
147,0.9560526211466657
148,0.955101501973327
149,0.9638447989287922
150,0.9667699324570705
151,0.9627587935467803
152,0.9701628990080837
153,0.9705159046157652
154,0.9734807184758749
155,0.9738817769758709
156,0.9762345704142421
157,0.9758400300992544
158,0.9763223697894579
159,0.9772384357930998
160,0.9772071097893025
161,0.9777341841171989
162,0.9779348786828087
163,0.9781256212925152
164,0.9781090939051342
165,0.9778793493264193
