Hari,Skor
1,-2.403999493695462
2,-2.4034940718056297
3,-2.4027021701467968
4,-2.4017730609449335
5,-2.401033819215784
6,-2.401371994471167
7,-2.3998792478692925
8,-2.397434633688618
9,-2.396272094779372
10,-2.397392890855298
11,-2.393760836321115
12,-2.392436953248504
13,-2.3912899995988544
14,-2.390866813149976
15,-2.3879307048389986
16,-2.3893158224972315
17,-2.3854947345271516
18,-2.3819149001234488
19,-2.3791083781330156
20,-2.3757528607845075
21,-2.376205559577106
22,-2.3690002478567296
23,-2.365596712555665
24,-2.3615940982844417
25,-2.365366061269796
26,-2.3531234195047235
27,-2.3529920090230987
28,-2.346960908333411
29,-2.341727246190604
30,-2.3303324853818084
31,-2.3215516265852987
32,-2.315725692367574
33,-2.306002383692396
34,-2.297281203376895
35,-2.285782123058164
36,-2.2868236395885733
37,-2.2693147251561268
38,-2.2534079175865176
39,-2.2406986402365088
40,-2.2275922029337174
41,-2.225337906966881
42,-2.1969509032233057
43,-2.1954204908142763
44,-2.184978873923523
45,-2.145163965282491
46,-2.1205036230688368
47,-2.124293224538207
48,-2.071797836818836
49,-2.0425161657606385
50,-2.0141592892230014
51,-2.0146950873542186
52,-2.0156194448817395
53,-1.9287182785579131
54,-1.8966085333240374
55,-1.8485403651612855
56,-1.8299152373894958
57,-1.7691088231534295
58,-1.767743117544729
59,-1.6947172993526811
60,-1.7274544366538387
61,-1.588242847413904
62,-1.5827667357506505
63,-1.586134593214815
64,-1.4486819227920757
65,-1.381156814056523
66,-1.3071809149554268
67,-1.2362822853585116
68,-1.1801765977060743
69,-1.1058585744307114
70,-1.0559719044156997
71,-0.9815713389238887
72,-1.1170231092970475
73,-0.8261760605350563
74,-0.752939277028742
75,-0.6745151211609619
76,-0.6225082195274132
77,-0.5810857157749822
78,-0.41810909754937153
79,-0.4034836685628107
80,-0.28046172911308687
81,-0.1870471373344531
82,-0.20446753464731748
83,-0.03414921882122757
84,-0.0644442409403998
85,0.06709305241185248
86,0.29579161824800704
87,0.3449635489034456
88,0.3703858819546535
89,0.3846962660564677
90,0.4144289616166875
91,0.6785438788068587
92,0.8086032914804142
93,0.8659764251565444
94,0.632677423201381
95,0.9084937228257391
