Hari,Skor
1,-4.987754041784693
2,-4.68866128724125
3,-86863.41046677782
4,-92392.42175121472
5,-4349.0551383041875
6,-86230027.36645542
7,-1099306.8058360235
8,-1554045.0172782103
9,-497089.688573791
10,-180584.86758796906
11,-2644.265381876339
12,-137224.24512121902
13,-6574.143837108363
14,-2257.8654684160097
15,-203.55714246297197
16,-3705.724296620822
17,-2777.4725778131005
18,-5203.448338102774
19,-3149.128801058832
20,-4781.645393872818
21,-22.628220182826833
22,-998.1852191733092
23,-912.5559480212423
24,-119.51363137595466
25,-64.37948453030444
26,-523.2892656321892
27,-3622.59653610363
28,-182.24230835535226
29,-1931.1279394854685
30,-2698.5373723557386
31,-3689.359620234694
32,-2333.0762699014294
33,-1628.7936937971315
34,-534.4624488909058
35,-434.41112447131945
36,-188.77417347132658
37,-4.6003667830658985
38,-12.242057426335005
39,-31.97272665086639
40,-15.413914864082521
41,-26.292825674328892
42,-98.4704521755536
43,-134.81625047345815
44,-101.54866982892139
45,-274.2780500573174
46,-120.21317659918168
47,-259.8343893570359
48,-163.92397417968223
49,-126.36185543914915
50,-105.84027774288586
51,-91.97129320521871
52,-94.18486683923106
53,-56.97578624834618
54,-32.2767437165492
55,-33.182221770293715
56,-40.3076005560111
57,-30.88679176496418
58,-17.29715320096018
59,-14.290021086294182
60,-16.641790273501684
61,-12.291710166909718
62,-10.88882165083663
63,-10.567501563059858
64,-8.176008923652391
65,-6.8318186622825054
66,-5.525752554225534
67,-7.006362193008231
68,-5.364270119224019
69,-4.695465293669451
70,-5.120706657832424
71,-4.358063947382551
72,-3.3840382513560288
73,-1.673517464123397
74,-0.7583471629889083
75,-0.30375573910122533
76,0.1220977983451893
77,0.0981820099077868
78,-0.12945839614915222
79,0.6467726867166992
80,0.7575343546037899
81,0.7495847648898755
82,0.7349926261493633
83,0.8656248098048647
84,0.8765795683492387
85,0.9688353821157155
86,0.9497194716184697
87,0.9684746616230807
88,0.9531837868768569
89,0.9752953185682357
90,0.9629697914358294
91,0.9690939178735083
92,0.9751554009222666
93,0.9784694155863521
94,0.9797199206791493
95,0.976500063648938
96,0.979682796035694
97,0.9796581540627077
98,0.9795576319588878
99,0.9782551221648436
100,0.9797665312057082
101,0.9796968938343297
102,0.979792381083928
103,0.9797037486228338
104,0.9798041991580814
105,0.979220464086881
106,0.9795612145784021
107,0.9799053573960623
108,0.9794224333131105
109,0.9791653275336144
110,0.9793450161779903
111,0.9789587977794855
112,0.9796747185387189
113,0.9796792880880225
114,0.9797395934133742
115,0.979272223250597
116,0.979996242288584
