Hari,Skor
1,-1.0346140082360198
2,0.7198381039197292
3,-2726.3644313106693
4,-3948.064528252016
5,-719574.3355847116
6,-3363.4800882132413
7,-15544.062433284767
8,-94430.33898312105
9,-1238.292466441675
10,-500.2285352609386
11,-123.4940786910949
12,-111.96403599335956
13,-49.7768337713583
14,-1083.752319361879
15,-2275.8523351472622
16,-697.2051112966903
17,-837.5503529465303
18,-629.0162423319721
19,-563.9497054628483
20,-817.9913867037523
21,-589.1014784647091
22,-294.7965557099512
23,-273.8510790090794
24,-258.3381405831731
25,-223.4328025027036
26,-142.18019713459415
27,-71.44190274125495
28,-113.9168658295755
29,-74.6066957756368
30,-69.24185545128525
31,-81.36880116533176
32,-57.3346525494582
33,-50.33605312838316
34,-46.00405673475771
35,-32.80421566235001
36,-22.698786808610482
37,-24.785241749477652
38,-17.01552138419174
39,0.5640556666747906
40,-2.3177475687597893
41,-1.6394261421864789
42,-0.4392017384896152
43,0.7197511009706935
44,-0.7628488570184846
45,0.583525624349016
46,0.6137921783360012
47,0.8058019031502133
48,0.2502556157950728
49,0.3429241905450753
50,-0.18110282400111144
51,-0.24350916265721922
52,-0.25480617626035396
53,-0.2564047791225579
54,-0.8022876935871006
55,-0.8872631268287885
56,-0.9642901453773167
57,-0.9535671058386301
58,-1.527733775477909
59,-1.7560943120629107
60,-1.4064677693893577
61,-1.9064398230756057
62,-1.413166800413626
63,-1.879987468038124
64,-2.145996761772671
65,-1.9387979431680082
66,-2.0006637826562907
67,-1.8567148404184022
68,-1.9176833497611603
69,-1.6591734398206022
70,-1.812559173726377
71,-1.5057480226122069
72,-1.5330380447661827
73,-1.496449437982322
74,-1.5289464236033923
75,-1.0842543721124556
76,-1.076928370671483
77,-1.1138154233383397
78,-0.9087358486025152
79,-1.047618031882394
80,-0.9698578557415347
81,-0.5140350640236229
82,-0.2861306473563616
83,-0.35747516558695813
84,-0.21887915438346006
85,-0.1944223699923875
86,0.020773234815241848
87,0.1400153437152598
88,0.22554487992067485
89,0.3187604615283304
90,0.41461464063007114
91,0.42839372768445416
92,0.4948668717399929
93,0.4906324963222096
94,0.5260074433057932
95,0.6124246623056155
96,0.6188197325964078
97,0.7394853078283594
98,0.7387453418897869
99,0.7696698784958822
100,0.8120568943663725
101,0.8451378973883616
102,0.8874159107284093
103,0.9067981185102736
104,0.912907134229155
105,0.942470391326197
106,0.9668903707604336
107,0.9597829020890001
108,0.9703643701693003
109,0.9696190847652828
110,0.9381587096548867
111,0.988194164496544
112,0.9916245299463001
113,0.988546276615485
114,0.9944696668309361
115,0.9947043708565262
116,0.9943560537354598
117,0.9938723133475437
118,0.9939669622952122
119,0.9898459996997033
120,0.9874956718156807
121,0.9911302557193925
122,0.9896498780520946
123,0.9874155808490607
124,0.9891234616965081
125,0.9885723084583448
126,0.9881566789424336
127,0.9876440098508893
128,0.9870862839213567
129,0.9886305151702862
130,0.9883441019337055
131,0.9881461437156634
132,0.9870905415653196
133,0.9885649048964518
134,0.9872024932512
135,0.9893325157744479
136,0.9889222278690301
137,0.9905731988793013
138,0.9901865563933073
139,0.9892764305570194
140,0.9903797891620701
141,0.991612161780877
142,0.9913760194212309
143,0.9925863029049434
144,0.9912525887188033
145,0.9936402006978443
146,0.9949282163984081
147,0.9952855383469643
148,0.9955158843230499
149,0.9955288849837103
150,0.9954957403559693
151,0.9954421244145595
