Hari,Skor
1,-0.9839665969946847
2,-4.889316054595254
3,-15114435301.0416
4,0.5173503328572218
5,-1003837.4447082974
6,-2692.8955588369963
7,-345583.04978100554
8,-333.28462722009186
9,-5889.806793077757
10,-1892.6432954699699
11,-0.2693307937927767
12,-123.52799758597556
13,-277.92975060544154
14,-15.63085649899472
15,-30.619406819508672
16,0.8093545044258735
17,-31.963651440112393
18,-37.54752370732847
19,-12.641712044479974
20,-2.5612537261676573
21,-2.3677358563273114
22,-2.2423572372880796
23,-4.493250814188466
24,-4.501712405594872
25,-2.131746031210606
26,0.43476112329668026
27,0.33241275066731246
28,0.15009018300307453
29,-0.4398510696893403
30,0.28974272229102715
31,0.5627045813434678
32,0.523347614344251
33,0.1991751441406362
34,0.8039753205570068
35,0.7051994196413262
36,0.770057316331181
37,0.8012052302178195
38,0.796938750113803
39,0.7671827188686683
40,0.7937772008570554
41,0.741308647443593
42,0.6901707567105546
43,0.4683869022291015
44,0.26851238207179606
45,0.5079896826573379
46,-0.007956140937770417
47,0.6868580904996309
48,0.12329937994733797
49,-0.2528151956980542
50,0.5471228736698246
51,0.29697143332428066
52,-0.3153639687603105
53,0.12965384066409702
54,-0.32968483537887683
55,-0.1941913002512572
56,-0.14385646389736206
57,-0.0490956243664733
58,-0.05367483141657359
59,-0.31742986335748125
60,0.10811838492555015
61,-0.09202155576459292
62,-0.039468664483231164
63,-0.05553047226138519
64,0.07975391053289005
65,-0.02964447084586519
66,-0.048429378474800666
67,-0.005368811046916333
68,-0.04484256304925083
69,-0.04197049848757528
70,-0.010134393828916455
71,-0.06016435985167412
72,-0.033585822039675195
73,-0.024105801638650615
74,-0.008813758951869533
75,-0.03405094347593152
76,-0.014887644908112563
77,-0.05792930103275573
78,-0.02633276406767271
79,-0.020424209962139672
80,-0.01032815048989466
81,-0.03463846355413169
82,-0.008666644667786771
83,-0.026682717186615523
84,0.049555773009004156
85,0.03646551561076361
86,0.021481726670277035
87,0.04739014390069418
88,0.06618878267431816
89,-0.002682123802855596
90,0.04641694303620425
91,0.04201884731922334
92,0.05557525442765843
93,0.05104848678819196
94,0.03883685531991565
95,0.052491280668402696
96,0.041364489064374954
97,0.05019471238301121
98,0.07591726058035708
99,0.10515299211547713
100,0.07024106562426269
101,0.07408132848399673
102,0.112862174422106
103,0.1167318261706568
104,0.09031173981805152
105,0.11398045463439888
106,0.10360252079925969
107,0.10669733455296826
108,0.18100009832180863
109,0.27421039321675944
110,0.2941545880038994
111,0.3046956922487938
112,0.3370684397237903
113,0.2950282041305381
114,0.3233663509581889
115,0.334078528493441
116,0.3185873505105339
117,0.3257321906929329
118,0.3194996990576541
119,0.375097783558736
120,0.35045630698193
121,0.32143964206089204
122,0.3749543760131905
123,0.36332109313555017
124,0.4072523378805637
125,0.467657548339675
126,0.4544144453016834
127,0.36972634661983295
128,0.48367537796355786
129,0.6927418441866942
130,0.604933423603223
131,0.4156172839411917
132,0.6242673726027715
133,0.6916933314926286
134,0.6308942343867125
135,0.7052639543645449
136,0.7030158354511813
137,0.7047169868423502
138,0.7338742841284146
139,0.8377496657508023
140,0.8049777050242495
141,0.7310717337872286
142,0.739720777952533
143,0.8301374469878022
144,0.8408012072601331
145,0.8477333539308454
146,0.8447251971877521
