Hari,Skor
1,-2.2044132094383775
2,-2.2033991640236006
3,-2.20220651477698
4,-2.2021279431829055
5,-2.1992946939947866
6,-2.198338489291194
7,-2.196057858171885
8,-2.197325722977547
9,-2.1938744812860747
10,-2.1838827604699778
11,-2.181075456912047
12,-2.174401003513192
13,-2.167411593986818
14,-2.167745068684191
15,-2.164969042605377
16,-2.1413118916326925
17,-2.1286450537949086
18,-2.115589825468214
19,-2.103799930627104
20,-2.1070641429553296
21,-2.0782745334605535
22,-2.0768060160029385
23,-2.0786178265927613
24,-2.006777912028689
25,-2.0029479204093854
26,-1.9900828109475799
27,-1.9447426435762112
28,-1.88836082822395
29,-1.8814103291070632
30,-1.8338976505349356
31,-1.7963961434838636
32,-1.7014297616213856
33,-1.771586239232343
34,-1.6896180927976654
35,-1.5911093183320681
36,-1.5184911785585538
37,-1.3617241735765973
38,-1.307800202212988
39,-1.1824112102946227
40,-1.129920761280153
41,-1.0820639341259755
42,-0.9628901102039777
43,-0.7804269398184067
44,-0.7607884034886037
45,-0.7314336207694285
46,-0.5642013554615739
47,-0.34863358670055145
48,-0.16798119043138104
49,-0.18859306258034003
50,-0.09284554874521112
51,0.06613935611001442
52,0.5169158788099425
53,0.31171950847223584
54,0.6009471420324518
55,0.4506371530283142
