Hari,Skor
1,-8.191221041571907
2,-8.191221041571907
3,-8.191221041571907
4,-48929.512896018015
5,-67277281.40609065
6,-30454968.851268828
7,-1713301.825014516
8,-2194912.626828466
9,-1477908.4464233415
10,-59217.51387140421
11,-974.7997165146489
12,-122487.61277470572
13,-246.7720147641063
14,-519.2176337188436
15,-6382.8209523400965
16,-28078.22871788651
17,-11355.562910947365
18,-13251.584372354457
19,-930.0611453750197
20,-8859.712404214048
21,-3338.3642023539724
22,-4125.871243078213
23,-5358.570540365758
24,-3083.981576352677
25,-764.8193931303439
26,-317.8833184131329
27,-79.82486019140875
28,-1.6948545601919829
29,-4.625139250511654
30,-21.68389887436697
31,-6.072236879007858
32,-55.66480899913163
33,-87.33441505548858
34,-92.08399335764727
35,-83.10066526111258
36,-89.69944063901396
37,-93.88514447218245
38,-90.7406893956294
39,-69.36029484368684
40,-66.95318957741989
41,-91.38054906228032
42,-38.43653757996975
43,-25.502136867224035
44,-22.599272652838987
45,-33.89544679420466
46,-13.494551791898372
47,-7.766464084627483
48,-10.28307239121309
49,-5.032959559193528
50,-6.678624692396138
51,-2.769114901724284
52,-1.9284785737469066
53,-1.9293902435074086
54,-0.9166493120310908
55,-1.2671214246562146
56,-0.2723247666748718
57,-0.1545034508363623
58,-0.15613756771227716
59,0.6831445611062583
60,0.8065154842015962
61,0.8399141578862747
62,0.931306748664313
63,0.9651708247492694
64,0.9818517067344211
65,0.9736300282179093
66,0.9819082624160388
67,0.9882080400604764
68,0.9839096213633578
69,0.9746424569679788
70,0.9888863566789361
71,0.9889011087649754
72,0.987116506047785
73,0.9886416176387908
74,0.9804944239378914
75,0.9848099474867396
76,0.9875749506998461
77,0.9858580814507902
78,0.9834846102517476
79,0.9856638235685732
80,0.9880444584044356
81,0.9878792060230212
82,0.9880511353675923
83,0.9878804603698609
84,0.9886210817837944
85,0.9885366663659788
86,0.9886702967638765
87,0.9876768210167763
88,0.988989536489851
89,0.9887908555050331
90,0.9889069431553302
91,0.9890300624711499
92,0.9889331906250823
93,0.9889018080019965
