Hari,Skor
1,-3.756281041178614
2,-3.7562784834205694
3,-3.7562479037451917
4,-3.7561958243570315
5,-3.7560817875921746
6,-3.7558592773026005
7,-3.755341164293754
8,-3.7545414210021697
9,-3.7533216721581457
10,-3.751324801991861
11,-3.7545274718683403
12,-3.7443166826949197
13,-3.7398853178824147
14,-3.7305712361735957
15,-3.719695509883028
16,-3.720033782809928
17,-3.6944616763346643
18,-3.6707046462041726
19,-3.6489799698796084
20,-3.6240632502217274
21,-3.623473812131686
22,-3.5572887072168378
23,-3.485429071334025
24,-3.5573913009610267
25,-3.3675407687173147
26,-3.32256350802262
27,-3.344435003110396
28,-3.1735592977879845
29,-3.1511712642895153
30,-3.0027214773802653
31,-2.919726744518795
32,-2.9422946485360733
33,-2.8381021355092386
34,-2.765764468592438
35,-2.612695512936931
36,-2.677754602544784
37,-2.5510368801049297
38,-2.354605854637551
39,-2.3059958001171776
40,-2.1688591795677827
41,-2.2350399123256635
42,-2.079549346230719
43,-1.930062373866896
44,-1.9140620533540043
45,-1.9140265548151887
46,-1.745504064979916
47,-1.6852749199213788
48,-1.5652660881644942
49,-1.559797320509197
50,-1.3872015280679832
51,-1.2959745702925138
52,-1.3749778841177003
53,-1.2786966049676476
54,-1.174146173550159
55,-1.1673563902075785
56,-1.0175950964073364
57,-0.667777145590698
58,-1.0043653250752356
59,-0.6343754618517792
60,-0.5538640251909903
61,-0.3396607009138184
62,-0.4702159854794925
63,-0.1362703477336431
64,-0.08225551576038326
65,0.020677068684097688
66,-0.1640402574054063
67,0.39507847057213263
68,0.1487626931966637
69,0.43001543223614924
70,0.5263811331518717
71,0.42058371169833486
72,0.7403237109572423
73,0.7816221638967007
74,0.8893427655237156
