Hari,Skor
1,-4.007792168374945
2,-4.007792168374945
3,-44.27822662940457
4,-700072388.7004153
5,-5012302.602404678
6,-416313.7906431988
7,-2422.5448816010467
8,-44732.226836680944
9,-28866.770844071023
10,-5767.834828167836
11,-563.6336676640474
12,-136.97322131472902
13,-10.280629672265947
14,-7.707981774166791
15,-96.28858341413566
16,-18.326272051690413
17,-5.438852657294139
18,0.015050925951146876
19,0.6782299270788255
20,-7.5038260004582895
21,0.8090492858810205
22,-12.521586160595263
23,0.36056362960668265
24,-1.7999891733126239
25,-2.0862268017826175
26,-0.6226918226891136
27,-0.9051793297136506
28,-0.3821187220913602
29,-1.2583897726027828
30,-1.0040396674406384
31,-0.9437148633481032
32,-0.5412567253774145
33,-1.1141929531717878
34,-0.6095755455422562
35,-1.084628218686789
36,-0.7205180041210637
37,-1.0156023372232892
38,-1.0593489366394202
39,-0.8469524276937426
40,-0.7029187618926738
41,-0.8082809781257547
42,-0.31402138868073237
43,-0.5258087539583769
44,-0.284970721252243
45,-0.3095457049500985
46,-0.273187866888593
47,-0.5479310107955806
48,-0.05207601882303692
49,0.13993467559442552
50,0.10389116965302214
51,0.32898658739082776
52,0.26073918100746063
53,0.5363936344597959
54,0.5695544117638219
55,0.6137718298442023
56,0.45802964366198395
57,0.7072374157904363
58,0.6924949774052505
59,0.7577607337933938
60,0.7656952710430112
61,0.825441223911535
62,0.8030306367982785
63,0.7551525090829734
64,0.7573849511373859
65,0.8283741358790038
66,0.8469604008124174
67,0.8599473862094797
68,0.8748716834158411
69,0.8732121631854489
70,0.8800628381613864
71,0.8683465133604504
72,0.8755697608677366
73,0.8785087668964378
74,0.8769480356874995
75,0.8814812792187531
76,0.8855505941938285
77,0.8891911325505693
78,0.8910074988470749
79,0.8902881482414376
80,0.8825644667218241
81,0.8792063092875175
82,0.8779703439068423
