Hari,Skor
1,-2.3589615388252225
2,-2.35837515419912
3,-2.353392346724648
4,-2.3523962234355813
5,-2.3495407963732986
6,-2.3475537816383736
7,-2.344425196739605
8,-2.3445732303466897
9,-2.3375590733524874
10,-2.3327054040089714
11,-2.32922830826327
12,-2.327508382090322
13,-2.3158544939628736
14,-2.3105882461549427
15,-2.3017051547204654
16,-2.2926088067683743
17,-2.2810633217508607
18,-2.269304309397773
19,-2.2540955671868255
20,-2.241082567423607
21,-2.2411064364828994
22,-2.205751084719282
23,-2.1857699729192235
24,-2.1717424991350196
25,-2.1365043389626446
26,-2.1076778772757288
27,-2.0782183757354433
28,-2.045526974893689
29,-2.0485718250642293
30,-2.0456645390396417
31,-2.006926115939796
32,-1.8814514527355382
33,-1.8275248524355088
34,-1.770027094152527
35,-1.7090444249848025
36,-1.642144456474513
37,-1.5760974269742256
38,-1.5113943425054996
39,-1.4850482033745638
40,-1.3434071199716642
41,-1.4245221756613602
42,-1.1719125144932585
43,-1.06916819832872
44,-1.1775373969728258
45,-0.9826490329167292
46,-0.8720286573527729
47,-0.5853114305574956
48,-0.49018042764208847
49,-0.36629434373273395
50,-0.17457457692084133
51,-0.08508037262846058
52,-0.12153467794084594
53,0.2786620930655257
54,0.3704487335992288
55,0.38707667713347504
56,0.7696891546394002
57,0.9428317615494057
58,0.9485616793641336
