Hari,Skor
1,-3.537447819145892
2,-3.5369470522920983
3,-3.53691737713092
4,-3.5340497254083187
5,-3.532814732875435
6,-3.5298662602725592
7,-3.5271020328182363
8,-3.5242132304583684
9,-3.5243022399945323
10,-3.5205147175743745
11,-3.5106882361193854
12,-3.5104242023424286
13,-3.497848666071781
14,-3.490284523709266
15,-3.482977528048676
16,-3.4740946609395733
17,-3.4736618704908038
18,-3.4558844124836954
19,-3.4430720259262344
20,-3.442397196037958
21,-3.437072215088123
22,-3.400982699237125
23,-3.3877248501625186
24,-3.4038497114352895
25,-3.3705700196238597
26,-3.3553015646646935
27,-3.3287838164317973
28,-3.3300080045636546
29,-3.3103731234067864
30,-3.2803578832010523
31,-3.2527842163016407
32,-3.265598097133047
33,-3.1179712040446983
34,-3.0692527600252646
35,-3.110665066415276
36,-3.0180801186950443
37,-3.046154747831263
38,-2.9447558188508474
39,-2.8861435925631067
40,-2.840479173952817
41,-2.773360476898128
42,-2.7197729102293207
43,-2.716801404268186
44,-2.740370680166418
45,-2.468694959871021
46,-2.55409720165443
47,-2.3922178759232406
48,-2.3735935647139206
49,-2.3506611994295508
50,-2.215487091300288
51,-2.098843654403192
52,-2.1622693070737533
53,-2.0590408693249502
54,-1.8628131335319154
55,-1.8261696733413921
56,-1.7741734431327885
57,-1.6830834125618743
58,-1.605228616138323
59,-1.4538906843664163
60,-1.4964510408505411
61,-1.360548178364756
62,-1.1715129926571857
63,-1.0878235117511283
64,-1.0000761096911197
65,-0.9307433942858829
66,-0.7321830457378187
67,-0.6405076453568843
68,-0.796621770951564
69,-0.8107716214108969
70,-0.31861142673509635
71,-0.20411090979233792
72,-0.14874440926263355
73,-0.0126051019607345
74,0.18598133170531195
75,0.2924405237353719
76,0.2684420660643583
77,0.6136480166429614
78,0.5545927385916007
79,0.7933421316324469
80,0.841663728771594
81,0.8374060478685431
