Hari,Skor
1,-5.003218810965869
2,-327.07194950388396
3,-7309.480061077572
4,-1671.3604427821801
5,-16178317.942611545
6,-9235347.75200204
7,-1615566.9104302968
8,-142781.3736690272
9,-221333.56832388238
10,-295302.30155140883
11,-276182.201082497
12,-379350.916892271
13,-180622.58354484718
14,-13.999819035799751
15,-37023.337574290876
16,-45148.76293175379
17,-39253.11358349124
18,-38662.90508118789
19,-28943.612863582657
20,-13206.880450192739
21,-19123.468926986592
22,-16964.30964141531
23,-14962.232639816737
24,-15926.579489224032
25,-17393.40932922268
26,-12663.038778363807
27,-12465.842001648794
28,-10310.37977740082
29,-8668.982323420836
30,-8131.531550019311
31,-4966.290690788751
32,-2230.679342840059
33,-3045.7235408372394
34,-810.1737796627181
35,-678.2694262431207
36,-274.1121733135676
37,-274.5877692925064
38,-25.124809434517985
39,-327.1641848852728
40,-731.62183274457
41,-580.1787802529326
42,-739.9275763019003
43,-467.89605397210306
44,-514.4173302057787
45,-646.1608504997855
46,-380.61172147587206
47,-405.7794012225826
48,-495.01647477193274
49,-663.9689236341353
50,-416.86103398423603
51,-515.1418492150295
52,-386.92433679616545
53,-356.9236708481782
54,-396.6119172597683
55,-310.28244526658256
56,-254.43347670385486
57,-244.36024480368386
58,-245.23917481614876
59,-168.74969175596993
60,-169.02465957987798
61,-143.16573109378425
62,-128.55640140632534
63,-121.80507532160624
64,-112.35867143333535
65,-106.2965087803231
66,-101.94768561610837
67,-80.81417330631221
68,-91.33913991208787
69,-76.12886545532996
70,-72.55299023614536
71,-72.03940068770515
72,-57.48054502436254
73,-48.79405056462364
74,-53.34857282014277
75,-40.32923126209447
76,-42.02146879974208
77,-35.12809278171523
78,-28.571095967315312
79,-29.135418240934396
80,-27.159189094377258
81,-22.246181530322325
82,-26.366742518832197
83,-19.749277339051226
84,-19.929221457049692
85,-18.11558584630144
86,-15.071085224525927
87,-12.248919069928622
88,-11.383100465040316
89,-10.154407501631656
90,-6.844723185810036
91,-7.440106918841742
92,-8.467234649718167
93,-5.224106306924696
94,-5.660990298648657
95,-5.101302412265291
96,-5.266151829543118
97,-3.644389540292706
98,-3.2568959750848014
99,-2.5293463957725337
100,-1.7283311762313938
101,-2.1471295350154556
102,-1.1395208218800148
103,-0.9167201106461591
104,-0.99721231695467
105,-0.24259412811770753
106,-0.4524245277552239
107,-0.11073567302784593
108,-0.31492512316830146
109,0.09806184636303783
110,0.3171349295659073
111,0.29599737251869274
112,0.42457146451091976
113,0.4449976654234937
114,0.4901103680629576
115,0.6270195755760872
116,0.684165003126046
117,0.6470999237901655
118,0.6491220141800135
119,0.7420452784050378
120,0.7975923339888873
121,0.7938445215389713
122,0.7184296714665468
123,0.8733943820921811
124,0.8346982060680024
125,0.8554636356973618
126,0.883085491600434
127,0.8453231484258243
128,0.9028567972505336
129,0.8829292560668053
130,0.922771456508868
131,0.9116381379677366
132,0.915887892349944
133,0.9373858377636494
134,0.9337953915336866
135,0.9190876601780544
136,0.9512233379726718
137,0.95141075046137
138,0.9476305854469997
139,0.9618465602644738
140,0.9707018617479795
141,0.9695856555222209
142,0.9725762645511188
143,0.9627765175329355
144,0.9721737968745764
145,0.9729509929309256
146,0.9762473707604968
147,0.9772783825143406
148,0.9801109886318249
149,0.9816423305655133
150,0.9824614645208742
151,0.9826662797513827
152,0.9839326311932816
153,0.9849040866455916
154,0.9850562319927437
155,0.9861888563008469
156,0.9862191700626752
157,0.9870541567223404
158,0.9873469268443237
159,0.9873930527835968
160,0.9875697203384362
161,0.9862120933005994
162,0.9874369543102306
163,0.9875940324807834
164,0.9877692822456877
