Hari,Skor
1,-1.3758648538658225
2,-1.3758373982588825
3,-1.3758284936074872
4,-1.3758291487321932
5,-1.3757800531381719
6,-1.3757692320800619
7,-1.375644237655719
8,-1.3756499153116168
9,-1.3755058304544625
10,-1.375499394535621
11,-1.3754762841488626
12,-1.3752238481640346
13,-1.3751044623473332
14,-1.3751633892589132
15,-1.3750481757645554
16,-1.374730595035277
17,-1.3747077774700802
18,-1.3740956621772291
19,-1.3741066001876439
20,-1.3734027027965299
21,-1.3739797796788618
22,-1.3731029301982582
23,-1.3724085816754057
24,-1.3724102414675476
25,-1.371412635101593
26,-1.3709081227101927
27,-1.370609152966404
28,-1.369983488014821
29,-1.3697549106754487
30,-1.3689970244550955
31,-1.3683809894618486
32,-1.3670913212256046
33,-1.36690009983118
34,-1.3652838896917006
35,-1.3641602806476274
36,-1.3631581343993964
37,-1.3617552085883329
38,-1.3609163231547683
39,-1.3593912370800396
40,-1.3577316178313374
41,-1.3583242372561144
42,-1.3551646367325594
43,-1.3535874557264984
44,-1.3518438752987616
45,-1.3499592190955219
46,-1.3483255613975884
47,-1.3460184611562807
48,-1.3443418377596306
49,-1.3433958190964566
50,-1.3421894226183104
51,-1.337423534243984
52,-1.3353312978743967
53,-1.33238616333582
54,-1.3318849797704964
55,-1.3321933930258956
56,-1.3263662991986842
57,-1.3267411086229481
58,-1.3201097222282003
59,-1.3126616327225298
60,-1.3178549534168384
61,-1.3074074222569325
62,-1.301853822489397
63,-1.3017611400507185
64,-1.296634974400742
65,-1.2943233608508677
66,-1.2902911813808515
67,-1.2808893713576666
68,-1.2761659698043504
69,-1.26962941664969
70,-1.267920330098189
71,-1.2647511825809898
72,-1.264533343245704
73,-1.2474360719679471
74,-1.240316573966862
75,-1.235295975328849
76,-1.2265937602569905
77,-1.2276414976026304
78,-1.2139712814994765
79,-1.204310724332165
80,-1.1948517430804593
81,-1.1870639973310295
82,-1.1851408537482713
83,-1.1677284241721853
84,-1.156823851165801
85,-1.1449539938798918
86,-1.1457806475648722
87,-1.1244323937209968
88,-1.1392009254408326
89,-1.1121265503546236
90,-1.0909063921364242
91,-1.0849115197340735
92,-1.0568357331123526
93,-1.0728711947952405
94,-1.0243126408054168
95,-1.0181108904223932
96,-1.0269011060426743
97,-1.026911224780426
98,-0.9445688854138627
99,-0.9560105324079289
100,-0.9078255391695096
101,-0.9059910544054262
102,-0.8812855340432262
103,-0.8299428934445736
104,-0.8330489701566293
105,-0.8050328941784386
106,-0.743715436619
107,-0.7164111376214857
108,-0.7064393314641493
109,-0.6903981623939512
110,-0.654746228619735
111,-0.6243141029869035
112,-0.53453377514763
113,-0.48354061494840295
114,-0.49755375899493925
115,-0.4457353156625137
116,-0.357892534774634
117,-0.35647016457171565
118,-0.2667781532137681
119,-0.21917843124699687
120,-0.1439529419146004
121,-0.07945230092137856
122,-0.02198454253497273
123,-0.019672949082948143
124,0.08196837971183457
125,0.11798043783432688
126,0.22097472027375797
127,0.30429764783877356
128,0.3003868940222335
129,0.3719935285897483
130,0.30644551829156685
131,0.5778311103052738
132,0.548050048409241
133,0.62419117391042
134,0.7892544095070096
135,0.9014712084406926
136,0.9085234198931589
137,0.9164272589020027
138,0.9807559664434561
