Hari,Skor
1,-2.4162083979196516
2,-2.416196818345301
3,-2.416186094940023
4,-2.4161864774262996
5,-2.416186216824764
6,-2.4161389280882317
7,-2.41611698972479
8,-2.4161132812711363
9,-2.4160064173633455
10,-2.4161100365671295
11,-2.415860427550579
12,-2.4158701589439424
13,-2.4156426743289776
14,-2.415585119812168
15,-2.4154080757676586
16,-2.4151340070060177
17,-2.4148626390246166
18,-2.414867586613505
19,-2.4146233890279274
20,-2.4135479810915204
21,-2.4135031898451653
22,-2.4119938543885002
23,-2.4113020705826314
24,-2.410820280325332
25,-2.4096283081347933
26,-2.408768070482999
27,-2.407955729490534
28,-2.408107269180827
29,-2.3988522140792465
30,-2.3946251885010876
31,-2.39177099472407
32,-2.38559699497484
33,-2.385073033087681
34,-2.3888416557489087
35,-2.3663205320312284
36,-2.3597691558252416
37,-2.3587043461780945
38,-2.357718335310114
39,-2.357790576207493
40,-2.34337855247797
41,-2.3322736485842204
42,-2.3261098514536296
43,-2.3109587909684732
44,-2.3047288167320006
45,-2.307743914900728
46,-2.2944046868068333
47,-2.2880005586805545
48,-2.265936228980021
49,-2.2479587007931783
50,-2.234887348049214
51,-2.2405550022882053
52,-2.223715503268865
53,-2.224607137342347
54,-2.2103870095086946
55,-2.1932669823654156
56,-2.1775421702326976
57,-2.1911938448123487
58,-2.1568566300194694
59,-2.1549272728565225
60,-2.1244834129934898
61,-2.126990100734392
62,-2.0951630700290678
63,-2.0857589683375894
64,-2.0607459453602077
65,-2.0570419387532173
66,-2.0255521282265194
67,-2.038786007192899
68,-2.0112901560133394
69,-1.9757001242801242
70,-1.9522801671230088
71,-1.9480154890347308
72,-1.917347868348903
73,-1.9209159787598824
74,-1.9219870824539926
75,-1.8687580347266808
76,-1.8248399994151434
77,-1.7968128221283974
78,-1.7738997207463778
79,-1.7569411974521127
80,-1.7563196474154
81,-1.7509555222141446
82,-1.6848791496648592
83,-1.6806423672378639
84,-1.6776800443153577
85,-1.6207753974829195
86,-1.5890726161739157
87,-1.566017932215403
88,-1.5199530245033488
89,-1.5132077323144406
90,-1.468559315913172
91,-1.4350338783514807
92,-1.3675298345477778
93,-1.3669958871829988
94,-1.3432106227986709
95,-1.272538355987011
96,-1.273989278832154
97,-1.1765689249952853
98,-1.1878729270688142
99,-1.1064918303555418
100,-1.11325121800171
101,-1.0786390772557888
102,-0.9986454082075802
103,-0.9578135724179313
104,-0.9004600996153027
105,-0.8682094107918994
106,-0.7973615522124098
107,-0.804043840171176
108,-0.7179775693737516
109,-0.635821062176323
110,-0.68996028167262
111,-0.5549792500973039
112,-0.48294107242909146
113,-0.42231643623221493
114,-0.42634775571107286
115,-0.43686111548953566
116,-0.32649252071807444
117,-0.42034010796695576
118,-0.12827895764562736
119,-0.025535852891613864
120,-0.007976840571095822
121,0.08725092696687087
122,0.14434617865373567
123,0.19963873103738872
124,0.2653554175206141
125,0.3451415055017626
126,0.40977500681824053
127,0.40174229137710915
128,0.5356648500749476
129,0.5664938906924155
130,0.6858404764117296
131,0.7678085217115496
132,0.8163176474057072
133,0.9217794292731036
134,0.8911953240749743
