Hari,Skor
1,-1.7066735277210388
2,-1.7066611099806623
3,-1.7066495957758177
4,-1.7066145831140123
5,-1.7066037299288053
6,-1.7065444920443134
7,-1.7065059913130303
8,-1.7064733514052461
9,-1.7064361732553661
10,-1.7063682793968318
11,-1.7063088123961525
12,-1.7062533080154623
13,-1.70621448434202
14,-1.7061668717837217
15,-1.706001789572372
16,-1.7059397648898735
17,-1.7059027967085565
18,-1.7059227293694317
19,-1.7056256505853749
20,-1.7055198850077495
21,-1.7050846439004368
22,-1.7050816761224206
23,-1.705081625746161
24,-1.7045808064048331
25,-1.7041544421521762
26,-1.7040432465408508
27,-1.70331128209
28,-1.7029281408981722
29,-1.7025557798248627
30,-1.7019643836895293
31,-1.7019986112544974
32,-1.7013957892787417
33,-1.7009032591830566
34,-1.69945809084505
35,-1.6987689702168702
36,-1.6979035785516365
37,-1.6980039751514049
38,-1.6963327497001948
39,-1.69540770998363
40,-1.6943574617019173
41,-1.6939531073488379
42,-1.691268333570343
43,-1.6914739200081543
44,-1.6881452301947197
45,-1.6861174385453004
46,-1.6839299961383154
47,-1.6814761981998094
48,-1.6815651712927528
49,-1.6765119968694058
50,-1.6729767034613294
51,-1.669856432640656
52,-1.6652411004652183
53,-1.6655779610341575
54,-1.6622838393296702
55,-1.6517111709378591
56,-1.6454857605349935
57,-1.640945715222475
58,-1.6321684852110439
59,-1.6328077928133862
60,-1.6172220159455573
61,-1.6086898994223149
62,-1.6016261752064218
63,-1.5991776014575212
64,-1.5781757191667953
65,-1.5668752563147628
66,-1.5558508085565212
67,-1.5408309484777272
68,-1.5548770290156906
69,-1.514979152954551
70,-1.5032129972438724
71,-1.4877638917086777
72,-1.4656670523804136
73,-1.4488685471905263
74,-1.4314336706297035
75,-1.4054966458883436
76,-1.3859662846658094
77,-1.3866959689637355
78,-1.3345691873989112
79,-1.3470336741131281
80,-1.2828681796311692
81,-1.2960062747154
82,-1.2971290628671936
83,-1.202741425455236
84,-1.202903426781917
85,-1.1418171676893096
86,-1.13832303055587
87,-1.0709326233316276
88,-1.0384571332702657
89,-0.9984076135335733
90,-0.9716746504160625
91,-0.9317031616118561
92,-0.9206290185605202
93,-0.8475757366209586
94,-0.9593750254964171
95,-0.8343305368884404
96,-0.7623622567549249
97,-0.7696707989914715
98,-0.7012973054954783
99,-0.6573857995448924
100,-0.5582323473346225
101,-0.5723196575703582
102,-0.5690794680153197
103,-0.4518903921722015
104,-0.4011301254078665
105,-0.3155072574431379
106,-0.3074707446523415
107,-0.26495483213547555
108,-0.2864387644580082
109,-0.1666676404006111
110,-0.10596987812567082
111,-0.08249322485965971
112,0.016390122818394692
113,0.08509099928676922
114,0.11382778291946061
115,0.17223323628842946
116,0.23235946818686715
117,0.2683269562661821
118,0.33903632878489576
119,0.38042289210525815
120,0.3491418317746763
121,0.4114146875638516
122,0.5373848811572206
123,0.6029697723777707
124,0.6543088111133831
125,0.5143302339092969
126,0.7505992578815375
127,0.8102605937784398
128,0.8710019975636061
129,0.9209662844218495
130,0.856327111705921
131,0.9490918051726022
132,0.9280768575251686
