Hari,Skor
1,-7.835989278966416
2,-927.1174357759919
3,-35088.787985098985
4,-333.7946846551069
5,-2055.7018573885507
6,-11218.891742562708
7,-326.9579834145217
8,-15.061025686186603
9,-1.5291477063245869
10,-64.89285042995775
11,-78.49923520996116
12,-113.36465999133442
13,-242.67015983749977
14,-166.41446568845132
15,-213.11923617015654
16,-246.23902055237244
17,-247.72546793727057
18,-235.46820286836422
19,-246.48669117833109
20,-261.3317355714011
21,-315.37749688402914
22,-263.96820189861296
23,-298.3735661852963
24,-313.2373437097887
25,-314.0775520352684
26,-276.22036508978925
27,-281.2537127585373
28,-245.9607874267162
29,-248.5288236993181
30,-272.31923479384614
31,-244.416691246466
32,-234.60484279637643
33,-237.61099527419677
34,-218.18767810031525
35,-209.68723065940392
36,-229.82735567255034
37,-213.45908069402844
38,-204.5930843750938
39,-177.9097918887171
40,-179.93904120289972
41,-169.19354114454217
42,-171.35788908454893
43,-148.92360914129713
44,-137.47324612042632
45,-122.56837149582276
46,-136.35769804842275
47,-104.17857924438171
48,-114.92888756838781
49,-98.74103984557739
50,-88.8614015143793
51,-78.59222369185905
52,-91.11049498105658
53,-100.54699923658069
54,-104.48211174257793
55,-77.01123580726093
56,-64.81403457466023
57,-51.290926985772614
58,-51.26977971559934
59,-40.494811224919886
60,-52.57706442203356
61,-34.321323467184556
62,-27.771836168618588
63,-26.400946797071143
64,-24.886106140499578
65,-23.91526903142291
66,-14.651165320904397
67,-44.466986810575605
68,-41.6807113617945
69,-10.338135165906545
70,-13.88854779758709
71,-10.026029175358733
72,-23.578810162078575
73,-11.051491140529567
74,-9.050385489654344
75,-7.652956225824667
76,-7.1673380021151
77,-4.86476505446833
78,-8.25681169771558
79,-3.8780935718487823
80,-6.175158582738612
81,-5.011520656079684
82,-4.107932792416128
83,-3.8732323895774545
84,-2.2536284591203
85,-2.256920391824567
86,-1.8103077002261685
87,-2.018599858935913
88,-4.85248435308617
89,-1.856039424210692
90,-1.669375406918442
91,-1.173096543248672
92,-1.491831174078711
93,-0.6082081337503551
94,-0.8107549994454444
95,-0.6492487609180464
96,-1.0266543500569343
97,-0.9457610232525226
98,-0.48731337333260805
99,-0.38874930635883076
100,-0.5731338256044869
101,-0.11952717368303323
102,-0.4948150275546681
103,-0.04780045226732832
104,-0.48024804695974854
105,-0.13514838479864344
106,0.026844155980864093
107,-0.03173251652991094
108,-0.1360675992530509
109,-0.3456616983608458
110,0.02765642834187121
111,0.18054160584268197
112,0.07935421080662486
113,0.09409744570994316
114,0.153066568698493
115,0.23906004398991676
116,0.09407482093015518
117,0.31208681302821417
118,0.07864715283826262
119,0.262686091481798
120,0.26258740884504506
121,0.29861124016251284
122,0.3529498460138881
123,0.3612320850676497
124,0.3047272106650354
125,0.3573515376558525
126,0.2987095902977921
127,0.3871755247440024
128,0.3851770768437204
129,0.37577827829039423
130,0.36285691054387736
131,0.39249054286037
132,0.33855139834636006
133,0.3418784942520967
134,0.3246905469971808
135,0.36955723544647756
136,0.3788914064958331
137,0.3888102360011161
138,0.3338014290012171
139,0.3776591929684826
140,0.34937519687383445
141,0.346965987786943
142,0.3789190137743872
143,0.3288528400543258
144,0.34914392298920716
145,0.2963812764182021
146,0.32872921811932587
147,0.32820112511285726
148,0.32341998257442994
149,0.28113017192485057
150,0.28820823724091793
151,0.2887155856009298
152,0.32693109386525665
153,0.28700316399344594
154,0.2884733223220335
155,0.2896200888415741
156,0.2905928934311537
157,0.28898626196209265
158,0.2762469176491391
159,0.3157743607867638
