Hari,Skor
1,-4.9005253282310495
2,-3.004574242958711
3,-22053.64027920745
4,-2077.2593253021832
5,-25363688.14396449
6,-1939356.9879631307
7,-4916.628050851341
8,-21997.0810190544
9,-31461.337732791275
10,-96823.0839325899
11,-48882.39532989429
12,-6317.69415721917
13,-4717.936837841606
14,-30010.585720815274
15,-1593.5313518306089
16,-1365.5518704129297
17,-353.5691582939855
18,-1693.2784864866444
19,-4014.3552060109246
20,-1319.570071400236
21,-3225.0142898056483
22,-4661.183932379855
23,-4133.679259453177
24,-188.66466121849226
25,-338.44896715377246
26,-235.0610736962938
27,-487.07620001605727
28,-752.0639946725862
29,-648.5052230668002
30,-504.6593131611672
31,-327.4853203560879
32,-11.326892234361967
33,-74.99095731242328
34,-118.99889587876763
35,-48.74543324653979
36,-140.29020155882824
37,-354.4194086500639
38,-178.48618491274195
39,-90.51422556590157
40,-92.15990089301442
41,-196.54736300017532
42,-140.4132885429576
43,-121.79889599512173
44,-150.92338305915402
45,-112.98144120535216
46,-141.88907145003847
47,-141.31943097933174
48,-117.64728434214739
49,-107.37468587538926
50,-115.89244474972914
51,-118.57472853185385
52,-120.19910462071091
53,-107.95319634293784
54,-90.67728169513961
55,-78.58767071764248
56,-74.96699329022508
57,-77.90622753621011
58,-63.849983647417915
59,-51.57155007714006
60,-53.321461174536964
61,-55.81299592953632
62,-50.49718558628337
63,-45.72131567340347
64,-41.18856508355407
65,-47.19839772753914
66,-43.68063294640812
67,-36.072258178452394
68,-37.175044576284314
69,-37.37857066541848
70,-35.185925918070126
71,-32.12064845009608
72,-29.769893795832054
73,-28.943907723208383
74,-26.49991078852453
75,-26.388413275564844
76,-25.899851557712978
77,-21.605929395729508
78,-21.275391799386195
79,-19.389949682538752
80,-16.6367167078744
81,-16.174260907211305
82,-16.31053421970503
83,-15.63396444252519
84,-12.024032202468408
85,-11.584769690077955
86,-10.370090648124439
87,-10.15372927102921
88,-8.372464847581906
89,-8.133029415018438
90,-6.286273410405962
91,-7.226850394667906
92,-5.541619805100753
93,-5.198866889983767
94,-5.129343686830194
95,-5.307438565182996
96,-3.0292725147000583
97,-2.822561668032018
98,-2.0259184395713294
99,-2.370052650467806
100,-2.1652144537806324
101,-1.8126100555830167
102,-1.4523381074720376
103,-1.1943300264323868
104,-1.1755977928489676
105,-0.7791166432046368
106,-0.9708322112336216
107,-1.1529071288616204
108,-0.2560754170907711
109,-0.1640190178063723
110,-0.03134837674020363
111,0.1895187619138322
112,-0.07861802654535355
113,0.23640431110060622
114,0.3326284251839524
115,0.3685966116699081
116,0.39143377799875
117,0.5469354490756781
118,0.5955921830410287
119,0.6613385165548415
120,0.6802074434033671
121,0.7616700409304554
122,0.742052610020184
123,0.7539424765994528
124,0.8008342632499392
125,0.8054930935046548
126,0.8188094615541162
127,0.8389172884301657
128,0.8792318590697761
129,0.8937524577097322
130,0.8811271080089053
131,0.9362412278794678
132,0.9154271908222295
133,0.9309410841603845
134,0.9244219571647929
135,0.9401159944664941
136,0.9506424832555256
137,0.9596266591473277
138,0.9607773416241732
139,0.9650460198914188
140,0.9682448545317304
141,0.9700618846962704
142,0.9756361707150965
143,0.9795198529291681
144,0.9773473104967958
145,0.9820273396112031
146,0.9823352142497173
147,0.9828900457046048
148,0.9850330794274106
149,0.9852074699259618
150,0.9858241219111008
151,0.985709057044033
152,0.9866784922934428
153,0.9871477380630895
154,0.987372792521968
155,0.9866371273853988
156,0.9874280489926094
157,0.9863763582959197
158,0.9879164870047972
159,0.9879137538369046
160,0.9878282218952439
161,0.9877547697254447
