Hari,Skor
1,-4.164432681102505
2,-4.164431222778729
3,-4.164427082101758
4,-4.164421354551119
5,-4.164411975632559
6,-4.164399917373615
7,-4.164396789270078
8,-4.164396970348152
9,-4.16428553356137
10,-4.164207093020493
11,-4.16420867110948
12,-4.163950319020587
13,-4.163950851451544
14,-4.163732254736201
15,-4.16307547941475
16,-4.162579695180831
17,-4.161969736968672
18,-4.160942615191252
19,-4.159874182930822
20,-4.158543130695095
21,-4.158487084168362
22,-4.15401498587134
23,-4.1511685521693265
24,-4.147376838177271
25,-4.142998698054103
26,-4.136511742272282
27,-4.1306038354485
28,-4.123962537393549
29,-4.115298483472169
30,-4.114575804458558
31,-4.095936418177534
32,-4.084922509438367
33,-4.0739143583817246
34,-4.0854856476207475
35,-4.044795279267753
36,-4.029617117500764
37,-4.013621001834288
38,-3.995213545482173
39,-3.98522640016438
40,-3.9560631055428797
41,-3.9373389595678585
42,-3.955810397180014
43,-3.8920149269950644
44,-3.8744153522891898
45,-3.847878457790876
46,-3.823837705421675
47,-3.801142322262006
48,-3.769561838050862
49,-3.7697341152016497
50,-3.714839463382411
51,-3.7157876991536645
52,-3.6872932508346326
53,-3.6901060982299354
54,-3.65984405091674
55,-3.5767779747157133
56,-3.5537361850521147
57,-3.51632764022583
58,-3.530891180493051
59,-3.454400800051461
60,-3.42852616487679
61,-3.4667750865637537
62,-3.4592940128927223
63,-3.32803718190588
64,-3.2954998227318946
65,-3.301256208488221
66,-3.218101718842152
67,-3.252811435778808
68,-3.1705730787454254
69,-3.112933080371226
70,-3.0874005411565006
71,-3.066773592787751
72,-3.1144404444821863
73,-2.9784131704377876
74,-2.9420711175412606
75,-2.9168353157236386
76,-2.8711322162127777
77,-2.8476216904311027
78,-2.828001462518332
79,-2.861620656803529
80,-2.714215128690893
81,-2.6768951149829188
82,-2.674901075657703
83,-2.6826875022740744
84,-2.570186896763646
85,-2.553064913310787
86,-2.4665986252047882
87,-2.4460558210804946
88,-2.5041269212021544
89,-2.3568414247562504
90,-2.3401763196772207
91,-2.4283675779961285
92,-2.250285806703275
93,-2.2590099667915515
94,-2.156455797474798
95,-2.17115076754799
96,-2.068927660739197
97,-2.1376014602004516
98,-2.019731042538909
99,-1.9261748141134003
100,-1.9141747929150568
101,-1.982461232703447
102,-1.8498501359736932
103,-1.7601348626742155
104,-1.7318835402828867
105,-1.7030760988847389
106,-1.6635651785108734
107,-1.6105127878265777
108,-1.5944060113046032
109,-1.611094362049887
110,-1.560486265577484
111,-1.374865327074931
112,-1.3835090850907763
113,-1.3998755854143181
114,-1.3775031875116466
115,-1.2936476050138088
116,-1.1744142661394625
117,-1.106757401557747
118,-1.2320126173333508
119,-1.090535938183851
120,-1.0195543994604654
121,-1.0272428467679902
122,-1.0185246063108742
123,-0.9294968061902802
124,-0.7858134507548271
125,-0.6519075987048542
126,-0.6850994845647929
127,-0.686684662576307
128,-0.6807202878625096
129,-0.5321804649267756
130,-0.6341691823311468
131,-0.48318694236047977
132,-0.44218231329256463
133,-0.34578681352163243
134,-0.3627066384119386
135,-0.4064507986831558
136,-0.10519625349763717
137,0.00788467414547045
138,0.03127703308751606
139,0.050191657376539744
140,0.06451259031198153
141,0.2173288173137211
142,0.338289367442843
143,0.29297009857731626
144,0.3620406179443496
145,0.4410141294018638
146,0.6408691565801742
147,0.6736687542087485
148,0.7949747297207186
149,0.7998286858284451
150,0.880531652783864
