Hari,Skor
1,-4.023769827297157
2,-2.9352622000956323
3,-9.157946707008222
4,-2.9811053764579882
5,-0.48165444929251766
6,-2.5274989737839886
7,-1.7260573710298628
8,-1.7698368326893559
9,-1.6233342316150408
10,-1.768370437086059
11,-0.4438784225269343
12,-0.24881487600343144
13,-0.6092916173763792
14,0.15564414197601772
15,-0.04902843395284129
16,-0.04767389731432625
17,0.17790381876934402
18,0.177911699775544
19,-1.2952235287939655
20,-1.9611384744468259
21,-0.9338645513649613
22,-1.8053267925648462
23,-3.53851081327881
24,-1.29531031124103
25,-2.6825990253858865
26,-3.5389436927814764
27,-8.757959542566862
28,-8.757490233188456
29,-13.860436212100884
30,-17.143247982583066
31,-34.06278132579124
32,-21.76459367646011
33,-27.662081139889484
34,-33.3243143499364
35,-50.900852874874104
36,-43.49941975242696
37,-35.511443918230235
38,-56.43599512447977
39,-63.75393284283223
40,-58.75858075313563
41,-52.68434731908903
42,-70.9433854760697
43,-78.18913616817557
44,-67.22002023167617
45,-71.39062848192522
46,-67.33740805994982
47,-66.4484065777626
48,-71.46464888996358
49,-65.09439767446055
50,-62.26419957620183
51,-53.201780761889566
52,-51.520199994887435
53,-62.227873504626864
54,-51.52018830116586
55,-45.8802680067324
56,-43.47076992143139
57,-46.86955637789537
58,-44.69129089457911
59,-47.727229626221394
60,-39.482953680931544
61,-45.50750908451239
62,-39.87956359557281
63,-35.51231325918104
64,-29.004431529219993
65,-31.163387728225764
66,-29.464113100375094
67,-26.700360449511397
68,-27.456021967621524
69,-29.09753951206975
70,-29.653254657319664
71,-25.682737370199508
72,-26.621604260737502
73,-22.230813759850054
74,-20.70939781817729
75,-13.545943067129073
76,-15.699188015303701
77,-22.52077561293588
78,-11.036660881775878
79,-15.234617348593641
80,-13.041745202927018
81,-9.117035581442801
82,-9.02961750549078
83,-10.77606565181224
84,-10.028856608984949
85,-6.75915820581107
86,-6.47873739019183
87,-8.331182048234144
88,-7.011854616234167
89,-5.0752158683716475
90,-5.030420205891786
91,-5.934100241336746
92,-3.744649516683176
93,-3.614810811840722
94,-2.4137969879609122
95,-3.2697273821987967
96,-1.9355340836872292
97,-1.34815769499584
98,-1.1485584778574642
99,-0.6417475049456529
100,-1.957537630784684
101,-1.1047326522863679
102,-0.496607626828256
103,-0.49662184879269344
104,-0.5555361203265319
105,-0.7894578120098583
106,-0.5496306664807975
107,-0.43250515472989504
108,-0.6794268169416335
109,-0.18927718653527026
110,0.08595425703300708
111,0.11719954109920816
112,0.23954899905167326
113,0.2669634782826593
114,0.21992924384373436
115,0.06098169802224862
116,0.17423491245651124
117,0.41199950123325746
118,0.28115287904636244
119,0.4640228633373661
120,0.4782592455571052
121,0.38346953507809955
122,0.5320559927004336
123,0.49193251223875245
124,0.5618062007510223
125,0.5752933701682545
126,0.530581102499279
127,0.5228638296149248
128,0.5586511294247094
129,0.5163888292437975
130,0.6022859304943917
131,0.55288458000358
132,0.55507388085659
133,0.5742059197976046
134,0.5456339046027813
135,0.5558894207974808
136,0.5652406615893357
137,0.5609959841889682
138,0.5817661114526658
139,0.5490454472115688
140,0.6181691630328813
141,0.5657343956464049
142,0.5515491289323968
143,0.5011403274311338
144,0.5005086065931019
145,0.5678387892788177
146,0.4847153745784786
147,0.4841099762957003
148,0.4821900106160659
149,0.464042561375288
150,0.47889068262297885
151,0.49503100066133154
152,0.5226976723413439
153,0.46214060804474855
154,0.4729457189781956
155,0.46066082574363476
156,0.47364480484777804
157,0.4885730509651479
158,0.45671663913914295
159,0.41915892471634975
160,0.44295381735556705
161,0.45487633478574074
162,0.41874639749746756
163,0.39959921378792984
164,0.4181072116020419
165,0.42825188996048924
166,0.4451545867613963
167,0.43629826080151424
168,0.44414682384484083
169,0.4363009653470471
170,0.42112054461694015
171,0.4363312902560442
172,0.4100537073952242
173,0.45535916217132577
