Hari,Skor
1,-3.4143408652070573
2,-3.4050873693876316
3,-3.3988648562031596
4,-3.3951484196660386
5,-3.397148030512592
6,-3.3866481094230716
7,-3.3801860833957535
8,-3.354485578463387
9,-3.3122858474977823
10,-3.3113803130239665
11,-3.3016832759650523
12,-3.2635176420163603
13,-3.227601750390922
14,-3.2173869465878617
15,-3.1735155938628887
16,-3.0641090045661645
17,-3.0313527621206804
18,-2.918687131027746
19,-2.739767709356524
20,-2.669777747975987
21,-2.5114774347506104
22,-2.4845007655074696
23,-2.2708349030554564
24,-2.6188820955576833
25,-2.165291553800778
26,-1.941986040497671
27,-1.8916900505601126
28,-1.6440088329641895
29,-1.312282455436375
30,-1.2475049793093027
31,-1.2577489090827587
32,-1.1294064759040938
33,-1.1937461040577975
34,-0.866042149184151
35,-0.17281127560106802
36,0.06081693124098275
37,-0.4548848150846605
38,0.42754035905931453
39,-0.2754730893417052
