Hari,Skor
1,-2.002476304723529
2,-2.0024421596309017
3,-2.0023615970473836
4,-2.0023615970473836
5,-2.002156789511611
6,-2.0020508806720363
7,-2.001782386598737
8,-2.0012458243914617
9,-2.00095407821028
10,-1.9995115424042633
11,-1.9989055025409943
12,-1.9964347003902994
13,-1.9961085898687738
14,-1.9928280771205826
15,-1.9927241584804758
16,-1.9911082984224753
17,-1.9871619476041347
18,-1.9847416914658935
19,-1.98248131853836
20,-1.9819341201267484
21,-1.976959961274153
22,-1.9817822185747809
23,-1.9740326368901187
24,-1.9672320647818333
25,-1.9644810312589338
26,-1.9626949517286127
27,-1.964524626410015
28,-1.9530022126433648
29,-1.946470899897975
30,-1.9532898206024067
31,-1.939144454657888
32,-1.9309417598034169
33,-1.9258661929334098
34,-1.9195808023622742
35,-1.918700467590361
36,-1.907601968921933
37,-1.900198003387925
38,-1.8934024083063625
39,-1.8932642965043849
40,-1.8786299637542805
41,-1.8636645616881142
42,-1.8604716373569992
43,-1.8483170107982292
44,-1.8381083682293657
45,-1.8270983293404721
46,-1.8166666246444838
47,-1.8012943435984532
48,-1.776478137525626
49,-1.790154749511672
50,-1.7480598401809488
51,-1.72024810795414
52,-1.7083827643845488
53,-1.7248255338274414
54,-1.6603502117084994
55,-1.68233834488011
56,-1.6461200190378884
57,-1.5508821788517095
58,-1.5349099292892117
59,-1.5383112550542308
60,-1.498502433398202
61,-1.4318681094420134
62,-1.4561050128904487
63,-1.3533235733625792
64,-1.3235710083967587
65,-1.2913345593580532
66,-1.2724887670420348
67,-1.239554023242568
68,-1.174407665067172
69,-1.0806159648058413
70,-1.0542505163831946
71,-0.984575410250146
72,-0.9268944021114227
73,-0.927978493461203
74,-0.7764993830110751
75,-0.7129996907848275
76,-0.6540019538660302
77,-0.6317930550302233
78,-0.5605608749904483
79,-0.7485595672196623
80,-0.42144248250826943
81,-0.4160404357455705
82,-0.24665075917810397
83,-0.21414037731040936
84,-0.08498391409724104
85,-0.23261789409010336
86,0.24334669474504178
87,0.23715433612571712
88,0.3619123323608514
89,0.36011032825789946
90,0.61058875082649
91,0.769588512081684
92,0.5835046994285013
93,0.8339122966485706
94,0.9256676409120227
95,0.8418783146063904
