Hari,Skor
1,-3.782258741806406
2,-115.44180762525735
3,-143.56250482314726
4,-16.968009936016195
5,-35.227834400096896
6,-98.25073243453035
7,-93.92051922198864
8,-17.743135441089834
9,-52.83962577964699
10,-49.63957650542634
11,-59.9112355021598
12,-51.40152436313341
13,-59.70530874192117
14,-60.41491986868492
15,-60.627669798379785
16,-69.07932224364116
17,-67.56568300946296
18,-63.87160115691992
19,-67.44121896327049
20,-77.52376910417841
21,-75.73036712355679
22,-69.7153654058255
23,-85.46810123658724
24,-82.39162447324428
25,-82.63702599871255
26,-75.88278749263121
27,-80.40014114024785
28,-78.43641338838111
29,-78.48450714377978
30,-72.33391869114608
31,-74.85761645110753
32,-69.6761273651478
33,-68.6761290750861
34,-65.46049476068123
35,-58.53976317530563
36,-54.17017145422162
37,-58.54987493207404
38,-58.513927338112715
39,-63.784062133760585
40,-58.55412721521412
41,-44.30573463049314
42,-48.940670711206145
43,-40.80701612056629
44,-28.182687771556417
45,-45.945790050484966
46,-40.980308258101175
47,-25.707951164665154
48,-29.857993040398114
49,-34.39238895447156
50,-23.13876225315034
51,-22.980248546900746
52,-22.763302732695752
53,-16.318405677103005
54,-21.583006429739434
55,-20.406998947888315
56,-17.487497728469766
57,-11.915713858644327
58,-15.859817624168588
59,-10.80419261064706
60,-11.275064201234818
61,-11.270504530002938
62,-11.035759456756063
63,-5.549424267648506
64,-4.387014305844886
65,-6.2751725548159305
66,-6.278220863643411
67,-3.894845751637411
68,-4.018227363455965
69,-3.656152201555267
70,-4.084918339450766
71,-3.210174672704447
72,-1.969968647390079
73,-0.8497051578346104
74,-1.8766817449487379
75,-1.9682930097318865
76,-0.2112459221994607
77,-1.0297092388784477
78,0.1134024762494793
79,-0.020656733380271852
80,0.2624710075977993
81,-0.41792011963509235
82,-0.6979270229895864
83,0.07765037194524016
84,0.2539630605084786
85,0.25960922539658327
86,0.7631215329709495
87,0.630630290358582
88,0.5027821275926625
89,0.47413811537683526
90,0.6193162635924352
91,0.8031790975739674
92,0.619627921712153
93,0.5027984462404234
94,0.7879930370954566
95,0.7569294248985017
96,0.8033155886595403
97,0.7567355726904601
98,0.8223516865847439
99,0.8351141220131598
100,0.826623685463587
101,0.8459762404614974
102,0.8147533842325023
103,0.8319418426148333
104,0.8184330479722716
105,0.835745741266365
106,0.8219694028651352
107,0.8253217478864606
108,0.8185133984345896
109,0.8146567985823343
110,0.810574728800554
111,0.8062591756760685
112,0.8061771471507663
113,0.8076035199476057
114,0.795283962272999
115,0.8255634993425274
116,0.787199875859765
117,0.7917628706653763
118,0.7872071965182518
119,0.7867392221586569
120,0.8025818859623948
121,0.7481257194225357
122,0.7967570871882736
123,0.7808590218331543
124,0.780816451888203
125,0.7800939769789959
126,0.7484004201615158
127,0.7808107646419425
128,0.7703204727368839
129,0.7582004565529256
130,0.7787566638771133
131,0.7776016194693632
132,0.7762452517876451
133,0.7749909018703577
134,0.7800326833695674
135,0.7735562305821555
136,0.7470991355076815
137,0.7736445944557648
138,0.7638654025963479
139,0.7636559758335345
140,0.7735992390236502
141,0.748273639134339
142,0.7630973907774088
143,0.7518242434147973
144,0.7765766779484741
145,0.7775123710134673
146,0.7786328826163822
147,0.7830138263500596
148,0.7765069905102951
149,0.7780070152766747
150,0.7787568590176256
151,0.7870702643297349
152,0.7774673250958322
153,0.7829589327572316
154,0.7903241162216491
155,0.7860141062692191
156,0.7844257848051812
157,0.8324384740323099
158,0.793104783025067
159,0.7968089505497536
160,0.8189391186547674
161,0.8185658575680195
