Hari,Skor
1,-1.3315191745748605
2,-175.55243529704455
3,-194934.51804740727
4,-10642.668922437419
5,-6291024.344150952
6,-1551360.2277602237
7,-634478.2265211224
8,-729234.1230955462
9,-77379.29626736027
10,-310.36615126050185
11,-2447.103196653117
12,-12263.316244186119
13,-12802.517098965272
14,-7990.7204951334015
15,-21641.54603387937
16,-6722.602534547995
17,-7455.620795468164
18,-9342.920831322203
19,-8324.382121888408
20,-6096.1016879547615
21,-6912.648506738842
22,-4228.171331860387
23,-5357.9903162085675
24,-2511.9134055310483
25,-2409.103769514216
26,-2525.1458112500222
27,-1262.0554409176705
28,-981.0226810322575
29,-187.0150678275998
30,-377.1951462283721
31,-308.3554881108258
32,-110.71216646385588
33,-88.76133999083466
34,-9.075627256820958
35,-87.73772246882417
36,-29.655081134436806
37,-32.924285767233144
38,0.9665701532890709
39,-0.3641465281291274
40,-20.608396171822058
41,-5.027809648289041
42,-7.376402507293513
43,-2.630095044208839
44,-1.392071506494343
45,-0.19474843581893841
46,-1.5707662005232557
47,-11.538562035588939
48,-10.025246805899675
49,-4.211930171395891
50,-5.709770148110062
51,-7.593383682736455
52,-3.3412292054073927
53,-4.139356360441986
54,-2.346681406426146
55,-0.6658180604120272
56,-2.826103235035435
57,-0.9071831026564519
58,-0.8584510899327902
59,-0.47046168760835605
60,0.07856439111820956
61,0.30053132398641524
62,0.6931163226611613
63,0.41443752282929724
64,0.8953500665439148
65,0.8699475396543426
66,0.9613641605455021
67,0.954211301645519
68,0.7840675865122669
69,0.554742591366313
70,0.6255181937580974
71,0.8805630875678367
72,0.6197529313681547
73,0.7990835828548953
74,0.8524686597437802
75,0.8876123074954366
76,0.9609135238455133
77,0.9616877955017249
78,0.8900477430881261
79,0.940781747851624
80,0.7386170122116158
81,0.7624739062086556
82,0.602137292556586
83,0.41987188141144227
84,0.21970476977177578
85,0.3191006780133995
86,0.29294007929141486
87,0.13704100666082997
88,0.02604428683354376
89,-0.04521149568396887
90,0.08336005424051762
91,0.2160856352183742
92,0.004372862627215923
93,0.08147614604911058
94,0.129741015733161
95,0.2973068151872288
96,0.26419891919379945
97,0.4764041670150285
98,0.5960267103913646
99,0.6333475822653092
100,0.6309533255751266
101,0.6988608061712168
102,0.8408317141213952
103,0.8870930554169915
104,0.8737213102461451
105,0.9564682336453992
106,0.9566291944754827
107,0.9562818150694464
108,0.9587392153881075
109,0.9674766368149921
110,0.9692370597708592
111,0.9706105444006435
112,0.971511579965993
113,0.9686309545309165
114,0.9612705747966914
115,0.9616321814725439
116,0.9622429940839634
117,0.9576578290872905
118,0.9572555669803979
119,0.9472877462132692
120,0.9332254886416752
121,0.9389688702865543
122,0.9348650974311343
123,0.9467047152602519
124,0.9566122269930566
125,0.9448361135675686
126,0.943983914947745
127,0.9504759850966205
128,0.9571990869000249
129,0.9522826302345674
130,0.9564232781997306
131,0.9640608786615794
132,0.9585098865823447
133,0.9646045671495502
134,0.9714821908707908
135,0.9719693703055144
136,0.972537281600441
137,0.9726161828232166
