Hari,Skor
1,-23.959729386175294
2,-37599.20883472187
3,-1754774.3394813589
4,-8473840.900989505
5,-263798171.33699274
6,-75727165.87056738
7,-780147715.87857
8,-237699265.1109911
9,-23397565.32820904
10,-37696574.65632847
11,-574740.4700027707
12,-69602.26502906458
13,-272007.1692829403
14,-170780.4517660509
15,-91356.10357105023
16,-760615.0845463816
17,-230729.6462377847
18,-222947.5150081122
19,-100101.06334043773
20,-132938.6470296809
21,-157841.9730440214
22,-110351.16401276823
23,-52433.21124623407
24,-123717.75321369109
25,-76276.41487335044
26,-117040.35447249666
27,-84933.55562993616
28,-89800.41218402566
29,-76205.82661207668
30,-65895.68511867967
31,-47291.50724047885
32,-45045.97348512864
33,-23861.624391072233
34,-35558.516084381634
35,-24929.678106205978
36,-20238.91627258274
37,-23874.426365589137
38,-14398.727707136568
39,-18154.32931953349
40,-10572.646919192484
41,-10830.302532290998
42,-10517.642269356089
43,-8679.16960267323
44,-6158.653956836102
45,-6800.835199281458
46,-6269.205417736953
47,-4924.003348266269
48,-4801.629919182767
49,-3946.094453071445
50,-3520.2895190913446
51,-1596.991778230731
52,-3287.847826492318
53,-2304.774969283973
54,-2543.9252546500593
55,-1267.2621697020234
56,-1843.3003609930813
57,-1138.6458216990297
58,-1789.5740370460228
59,-1175.7863206698446
60,-907.1435262013724
61,-691.4350830257382
62,-508.7668728821739
63,-715.6188448504263
64,-668.5132495236021
65,-521.5855565287452
66,-619.1622072644964
67,-515.0926759911349
68,-501.68891034823855
69,-376.38228804490086
70,-314.2913847016374
71,-262.1926993586283
72,-154.03230957257358
73,-217.33127518055113
74,-233.099721450968
75,-181.02185166792745
76,-119.73041386395943
77,-71.82206266409176
78,-111.060080755717
79,-90.3099692295356
80,-111.82384300450411
81,-55.758741381688196
82,-68.22070326319212
83,-46.455136717275494
84,-60.36307222079897
85,-50.82521021016611
86,-42.4795897647343
87,-43.60252713603421
88,-28.180565680434924
89,-28.901376779295216
90,-28.55059948609527
91,-26.981748568565326
92,-20.642805208309497
93,-15.389694690757196
94,-14.662370381482265
95,-12.41068519457185
96,-13.40466754979889
97,-10.639366223485181
98,-7.228110301523209
99,-10.792291191709584
100,-7.675641429852437
101,-5.418594192181332
102,-4.463949375148832
103,-5.128840008086895
104,-3.7184427400322324
105,-2.170244775493108
106,-2.573095599448275
107,-2.343967700648121
108,-1.7400824695215809
109,-1.1903238603665551
110,0.1248472653844318
111,-1.0323418223505234
112,-0.6461859588323295
113,-0.30585774963050194
114,-0.8487523884323804
115,0.2787814633764166
116,0.1136423065428509
117,0.16039803980280432
118,0.34146899442783263
119,0.30528914656130657
120,0.2654214830939997
121,0.4882053248496747
122,0.5886260945238085
123,0.6362585642863476
124,0.6608149536662298
125,0.6751881363840817
126,0.6708300361484567
127,0.7126310625326302
128,0.7037960998902653
129,0.7606256835770019
130,0.7413489699586346
131,0.77351209907521
132,0.7668945347812721
133,0.7561096092859267
134,0.7845619535543515
135,0.7832549829105686
136,0.7895155353715012
137,0.761797811825455
138,0.7913953590375951
139,0.7874423085560354
