Hari,Skor
1,-1.7652089587766562
2,-1.765045004973317
3,-1.7649987471515645
4,-1.7650264362829375
5,-1.764678436645088
6,-1.7646627632375078
7,-1.7643512527515517
8,-1.7643164732461392
9,-1.7634924054629697
10,-1.7630898235256365
11,-1.7626045652988176
12,-1.7622455584147372
13,-1.762452002227405
14,-1.7611131921489909
15,-1.7604065298649565
16,-1.7602357851921955
17,-1.75891617484693
18,-1.7589628130324635
19,-1.757162365854466
20,-1.7562906888903993
21,-1.7562255059437248
22,-1.7544481860983625
23,-1.754095154343894
24,-1.7526104324813572
25,-1.7531994658150518
26,-1.751577908700653
27,-1.7474677683176632
28,-1.7466323277236442
29,-1.744302660965182
30,-1.7422960939981609
31,-1.7399810077808033
32,-1.7377128596937381
33,-1.736289808603357
34,-1.7315825406384762
35,-1.7291762516188247
36,-1.7248869040456123
37,-1.7232342682276602
38,-1.7162280496906925
39,-1.7114696435714594
40,-1.7062440179801102
41,-1.6996577598981526
42,-1.6956093888890522
43,-1.6932846288421923
44,-1.677191142027025
45,-1.6691172346934615
46,-1.668763965011539
47,-1.6688857147027822
48,-1.6366338455109468
49,-1.624235858643715
50,-1.606984332470553
51,-1.5939769619752333
52,-1.5737361938532421
53,-1.5605976596097997
54,-1.5601173306670852
55,-1.5919219992650113
56,-1.494673922958031
57,-1.5084759080011003
58,-1.447296256254738
59,-1.4509237666879669
60,-1.4132987642857762
61,-1.370578012013544
62,-1.3517477439827106
63,-1.328709762544538
64,-1.3534548545249576
65,-1.2512728494265328
66,-1.2149222002184228
67,-1.2089036650769827
68,-1.1299316285915695
69,-1.0891848951407472
70,-1.125161475043221
71,-1.061134228022651
72,-1.0396709117966778
73,-1.139217493708641
74,-0.9254133256122743
75,-0.8441997962635028
76,-0.7460748949134197
77,-0.6961379540901567
78,-0.671809261029022
79,-0.6039145335384268
80,-0.57811649117294
81,-0.49382923069263773
82,-0.3852058188574845
83,-0.3873049579880694
84,-0.29163322528398217
85,-0.34057768828306356
86,-0.15204854174708693
87,-0.03375586697894173
88,0.024733025164666467
89,0.026481767809005463
90,0.10636801516740901
91,0.1825258669827503
92,0.29473144375997506
93,0.43056949578667425
94,0.5447378903605644
95,0.4328843387434024
96,0.6718661838040263
97,0.7603066460034523
98,0.8390067970053382
99,0.8039678542472533
100,0.9881587780309937
101,0.9668446811045335
