Hari,Skor
1,-5.405540689529221
2,-15.607142659228138
3,-12.291870694858755
4,-14.118709008644203
5,-0.44443276449925917
6,-30161.576879381915
7,-4.334359494419891
8,-0.2478108810961337
9,-25.758688792202836
10,-21.339018526084253
11,-22.12264165175928
12,-28.717905614436148
13,-19.080855156543958
14,-22.189618767290774
15,-22.8672972416071
16,-21.396446729231993
17,-23.60985810359813
18,-21.98443741699175
19,-24.762953758852753
20,-25.968515265415665
21,-26.301368523460262
22,-26.056973349368356
23,-30.653707009492905
24,-26.753710662169066
25,-51.46468751457261
26,-50.01640517802062
27,-53.83495642058854
28,-51.31330912418292
29,-51.39020107731725
30,-50.48083146650865
31,-51.37425495497584
32,-50.50101996203262
33,-51.3937798276459
34,-52.73560326489466
35,-52.15774867314933
36,-52.79303521033328
37,-51.509435654429396
38,-50.02601178294847
39,-52.613344184202944
40,-47.077911283477796
41,-49.053145586540836
42,-45.69240577367087
43,-47.861583657636096
44,-44.199614839996975
45,-47.00431918292254
46,-44.31457588640204
47,-43.80642897888833
48,-45.67408887732742
49,-41.65446925875627
50,-36.08853546188555
51,-40.584455145060176
52,-39.592373361068184
53,-35.245404152936416
54,-37.12942327714171
55,-32.16168781250547
56,-35.24742467022746
57,-28.33963947471823
58,-38.10020213268732
59,-31.499865368965025
60,-29.495590684169283
61,-29.491932942793554
62,-26.213660586350837
63,-25.362978915138505
64,-22.055548976594352
65,-19.381368719415317
66,-16.442872464827875
67,-23.51482220074687
68,-16.446314400250234
69,-18.41414604369064
70,-12.65266572411564
71,-18.410441927938173
72,-17.218689072602015
73,-8.912158801085106
74,-9.386909968043467
75,-9.549868107613328
76,-10.018632779129025
77,-7.993879860847393
78,-8.749539157789771
79,-7.979483103555786
80,-7.9978243297348115
81,-6.225681613620789
82,-5.4374401689795135
83,-4.883919113912212
84,-6.447424770612101
85,-5.248653717198752
86,-4.705253192935974
87,-5.434661812997579
88,-5.769439132486655
89,-3.0358553719484593
90,-3.213665106167891
91,-1.924773167045223
92,-2.624987740904555
93,-1.6235656196471746
94,-2.7627757614602975
95,-2.3819299174585704
96,-1.8059242458937859
97,-1.4267341593289333
98,-1.839479704978547
99,-1.1730808514136006
100,-1.293640879883223
101,-0.8445030053397258
102,-0.41405427857646937
103,-0.34048792545776285
104,-0.666227219695531
105,-0.3051422718471404
106,-0.22508910884699862
107,-0.31506795023953194
108,0.11297686206764701
109,0.052300536378747764
110,0.070587295998218
111,0.41838080604161376
112,0.1269206689781024
113,0.2177067504147251
114,0.260827801889019
115,0.32188328860798865
116,0.5004721051922622
117,0.42727186653664184
118,0.5073330877291932
119,0.47919262472079205
120,0.4355467102241045
121,0.40621304587673013
122,0.4933643151039696
123,0.5244806307742655
124,0.581703505995811
125,0.4825082741517973
126,0.5358699120682926
127,0.5716067275567489
128,0.5373829337853524
129,0.5731667378649057
130,0.5339587645611582
131,0.5757746518377305
132,0.5886143747000726
133,0.5339161775063259
134,0.6177503123812824
135,0.5973369325426421
136,0.5217420016352512
137,0.5781079768340938
138,0.6208442876645376
139,0.5991731572677602
140,0.6080104184273197
141,0.577539101564325
142,0.5783081869391566
143,0.5362863063001032
144,0.4377378482634767
145,0.5748960562824711
146,0.5202350152651808
147,0.5345282137430705
148,0.5279382788542353
149,0.4871301786296707
150,0.5564678608934512
151,0.46648995463409104
152,0.535337911007547
153,0.4639739189134331
