Hari,Skor
1,-1.047389437302832
2,-1.0473893596745314
3,-1.0473890652085958
4,-1.047388748749237
5,-1.0473887195334988
6,-1.0473886896770925
7,-1.0473870016168596
8,-1.0473844802114929
9,-1.0473821496987505
10,-1.047379364150141
11,-1.0473756151859956
12,-1.0473755103161544
13,-1.0473681571888434
14,-1.0473586889339543
15,-1.0473581036312858
16,-1.047339968772587
17,-1.0473287683515125
18,-1.047315441796675
19,-1.0473008061168048
20,-1.047282043908086
21,-1.04726030624929
22,-1.0472630363884128
23,-1.0472021649164032
24,-1.0471726178068863
25,-1.0471335711135192
26,-1.0470770859350487
27,-1.0471246094749778
28,-1.047010387519506
29,-1.0468613060612504
30,-1.046764338398141
31,-1.046663309752259
32,-1.0465634023802912
33,-1.0464072916386713
34,-1.0462669081425306
35,-1.0460821024012281
36,-1.046009085719764
37,-1.0457420080111186
38,-1.0459074786026958
39,-1.0452742851876016
40,-1.0450430334789464
41,-1.0450340582079067
42,-1.0444882344777722
43,-1.044137598906862
44,-1.0438747978833458
45,-1.0444493746993695
46,-1.043119614122932
47,-1.043074076526345
48,-1.0422200503374737
49,-1.0419316069658597
50,-1.0413009662196804
51,-1.0407478017363028
52,-1.0413960293470748
53,-1.039597756800092
54,-1.0390374948635115
55,-1.0382566454749664
56,-1.037905474850989
57,-1.0380461714050653
58,-1.0359684089264554
59,-1.0349765115760574
60,-1.0350945818219661
61,-1.0330203565495921
62,-1.0326695929178116
63,-1.0341432510888091
64,-1.0301899082573027
65,-1.0298951668748675
66,-1.027578396019297
67,-1.0255005246302886
68,-1.02450510964752
69,-1.0222071383067899
70,-1.0216451690975266
71,-1.0185362494882084
72,-1.0185113123031133
73,-1.0144883546576242
74,-1.012365120349929
75,-1.0098382114991118
76,-1.007914167550334
77,-1.00772042109607
78,-1.002372781154655
79,-1.0006562245080142
80,-0.9981311640353887
81,-0.993543567751783
82,-0.991005570761109
83,-0.9912624507966041
84,-0.9911338567068089
85,-0.979373266699016
86,-0.9782822784418279
87,-0.9758096494660986
88,-0.9690693753225665
89,-0.9680576751901682
90,-0.9574742512575631
91,-0.9569245463731761
92,-0.946316020340632
93,-0.9510583350925148
94,-0.9397574926350307
95,-0.9448954776023359
96,-0.927099432028577
97,-0.9129403551695745
98,-0.9055825845387808
99,-0.8980558707428441
100,-0.8917792562945235
101,-0.8962430170539946
102,-0.8803594825777417
103,-0.8648956218043267
104,-0.8581414162928083
105,-0.8574211987156599
106,-0.842389887480181
107,-0.8330536455188715
108,-0.8137845446848264
109,-0.806180157785376
110,-0.7843379360918143
111,-0.7702271963595588
112,-0.7508478861398944
113,-0.787080922021463
114,-0.7178033748183865
115,-0.7198494313943824
116,-0.6866916638738816
117,-0.6686940901404139
118,-0.6691286194343684
119,-0.6664867128583754
120,-0.6010177317190242
121,-0.676226222289033
122,-0.5837041970614383
123,-0.5439449295275476
124,-0.5236958512080583
125,-0.48542397580346197
126,-0.48543114705803503
127,-0.44949244596917115
128,-0.43173903481848397
129,-0.3729655028053256
130,-0.39983902341868127
131,-0.33771624047699333
132,-0.3148742618258771
133,-0.2319196080635204
134,-0.2047513579476583
135,-0.2744774226597595
136,-0.12324067585396214
137,-0.13534496152451436
138,-0.04738118662160118
139,-0.08558677399543235
140,-0.012752459473090338
141,0.08883389929322849
142,0.12622382888473105
143,0.19406425514724512
144,0.204977060570538
145,0.27972604564317705
146,0.2678051882573772
147,0.40194685822793896
148,0.4362662835864055
149,0.506671307901046
150,0.586999047613266
151,0.5861614810312857
152,0.6802371679784049
153,0.7203447905599569
154,0.7834673075030639
155,0.9170203303598787
156,0.8998310849101386
157,0.9285210211674273
158,0.9048675890326107
