Hari,Skor
1,-5.113366543982503
2,-0.44321361654695757
3,-42.374758467962444
4,-9.040642832265306
5,-4.593268749509349
6,-1.4742428750985561
7,-0.41144079765726826
8,-5.268670998601111
9,-2.831438296640594
10,-3.292988239212897
11,-2.3829852833401106
12,-4.764414683813844
13,-4.63907437807602
14,-6.12086296803049
15,-6.42582141335832
16,-6.221262172139496
17,-13.001962508090612
18,-13.806202976287167
19,-15.082098998555793
20,-16.350534547863177
21,-15.069077196652731
22,-19.218430852389957
23,-20.15617534540761
24,-21.5206129824788
25,-19.978272703182604
26,-17.905545234329747
27,-24.109000755692467
28,-27.63060808760977
29,-25.05908463504011
30,-30.663350530347124
31,-30.664676251076116
32,-43.94100201069907
33,-53.10716850818998
34,-46.90324653393002
35,-61.50967961401518
36,-59.322041973791514
37,-50.44958195567412
38,-63.36123250164805
39,-76.79849312553604
40,-74.55146196983252
41,-65.642148487369
42,-72.69507891307506
43,-74.09121983107704
44,-75.11705065273819
45,-65.73605701137157
46,-72.49389364572562
47,-72.49156480914839
48,-70.38213433383933
49,-69.20263674412361
50,-63.61700666247329
51,-60.02929067349403
52,-56.035568065311935
53,-57.38690338400932
54,-57.38570109087424
55,-54.834530957409825
56,-49.48747062191269
57,-52.82227415631976
58,-49.487478525559546
59,-50.714147098773836
60,-43.30080694770083
61,-51.540923029785894
62,-44.65519628415965
63,-38.784235218069355
64,-35.44214380467938
65,-36.012619015182494
66,-32.48424320372818
67,-31.11296852718695
68,-30.894997042743835
69,-31.50582124943716
70,-28.643897495282307
71,-27.608563149973605
72,-27.226959541599975
73,-27.22762546135936
74,-23.627913154912317
75,-25.3514536352375
76,-19.874943844555016
77,-23.273254770903804
78,-20.621872974530206
79,-20.13403783771071
80,-16.57645338442265
81,-18.475006632447272
82,-16.05609274844622
83,-18.9350695928927
84,-15.635119384832805
85,-9.39592961248066
86,-11.261479370177312
87,-12.405394117271282
88,-11.438917954050766
89,-9.70685409470211
90,-9.27835435640177
91,-11.071578729188568
92,-3.5382420325476405
93,-5.278115540194988
94,-5.278330511208964
95,-5.8155021948828
96,-3.6012805677217754
97,-4.117849659278741
98,-5.126928695321507
99,-2.3904876566599578
100,-2.1304216516822576
101,-1.9055736904700713
102,-2.177931022306891
103,-2.617646622569369
104,-2.289107599121382
105,-1.5575922480716282
106,-2.0439131774138946
107,-0.7533527052381417
108,-0.16337899695696922
109,-1.2124235041928788
110,-0.6404321927582344
111,-0.5508228359375753
112,-1.1751533214430507
113,-0.2923161859390604
114,-0.1583766037720502
115,-0.2173876379687818
116,0.03975017540108272
117,-0.0005826424502419769
118,0.049295666346478084
119,-0.07295759644386623
120,0.08581088042604312
121,0.2758080087357786
122,0.21701125567145874
123,0.22182302425620537
124,0.2855133438261771
125,0.2984310688434333
126,0.31098983373713995
127,0.4066917342860422
128,0.3493503687992795
129,0.3597163941610556
130,0.2855192969995235
131,0.35971612909250217
132,0.27453378142996154
133,0.30444461642267373
134,0.3709097618190529
135,0.32294513600813457
136,0.31788850472525587
137,0.2998294917359695
138,0.30652297650245164
139,0.31391641555030025
140,0.40276818615035326
141,0.3413192988227638
142,0.3855353805099442
143,0.3083156901469428
144,0.2809015548927388
145,0.3455147261258148
146,0.23949915565880175
147,0.46039540690648373
148,0.38269240362810053
149,0.34400109763824904
150,0.280884931658673
151,0.2518683695096581
152,0.15509583316698983
153,0.22955693542177946
154,0.14673979485229893
155,0.22954170383827444
156,0.12345778179003919
157,0.17342423356298875
158,0.1713510337014098
159,0.23090988887603658
