Hari,Skor
1,-16.987413912281255
2,-5.03831178869489
3,-347471.9184357653
4,-45947.43830570589
5,-93722711.61033201
6,-97908110.87042354
7,-143169758.7571375
8,-12163157.970926493
9,-131620.4518786697
10,-6161650.87855027
11,-13036982.614222277
12,-6863031.540745267
13,-2450070.6039084904
14,-1298903.2742629696
15,-921249.0373272056
16,-169128.54906478047
17,-640564.5711733431
18,-713966.923831117
19,-552836.6603465719
20,-213667.81259293744
21,-501252.36597613845
22,-305808.5959277712
23,-243486.07482408304
24,-175316.2484999845
25,-90146.01953200377
26,-151983.41653530387
27,-16930.68720299553
28,-5701.869289868715
29,-448.67054213470334
30,-64.13256145345198
31,-528.0137981167526
32,-2958.1201334222596
33,-3455.0301598738974
34,-2683.6115462310245
35,-4583.415317446021
36,-1923.2309826517794
37,-2992.3103724476964
38,-2864.661509362977
39,-2844.370317979312
40,-3058.8204380756606
41,-2676.5007260226957
42,-2620.3324420775307
43,-2234.0408979401004
44,-3222.726151613484
45,-1904.6472908027936
46,-1764.3731396293592
47,-2381.5049731415193
48,-1495.8625891420788
49,-1030.9918130593917
50,-1500.734592114344
51,-1181.25292766425
52,-1533.3457985268594
53,-777.8431220801791
54,-742.720180666471
55,-883.1570471013466
56,-563.6544512421915
57,-743.423969377667
58,-468.5660906502157
59,-436.55005221307033
60,-692.2938926702518
61,-408.0270379470807
62,-341.10698731667
63,-262.0490612691592
64,-276.5751805106103
65,-268.01915378968596
66,-207.36704335074543
67,-151.6949435856148
68,-186.63250560906272
69,-138.53534067557774
70,-149.30556905174257
71,-127.27860790334009
72,-100.25692554659572
73,-112.3682416550852
74,-82.2877473677868
75,-87.39985469099578
76,-65.55781678498282
77,-60.50628779667596
78,-47.82325966896281
79,-64.86139763488887
80,-44.46499263632004
81,-49.83505801867392
82,-28.787357487425748
83,-33.304896581153876
84,-24.323917268604955
85,-23.86400063646195
86,-24.876046178381188
87,-19.422319479416206
88,-17.150291082611076
89,-18.494215568869116
90,-12.644195157173588
91,-12.019395395781784
92,-8.805871034901143
93,-10.081544751510547
94,-9.606551881107244
95,-5.477670070503965
96,-8.299611484132557
97,-3.959161761732428
98,-4.31496663141231
99,-3.2681412311714313
100,-3.3573443901609368
101,-2.3450599415756326
102,-1.7952106271289625
103,-1.5961549099250218
104,-1.2401695454943171
105,-1.5544109532168777
106,-1.2024048809117076
107,-0.47744034817061953
108,-0.26645124756775096
109,-0.6568200517646603
110,-0.11684074020503599
111,0.014001466429462872
112,0.16793409833118733
113,-0.10376310760725493
114,0.23813871504533968
115,0.4330524736469967
116,0.4613876883893976
117,0.3974820585917619
118,0.7093213865366594
119,0.617765901281282
120,0.6961159716140745
121,0.6768132982775599
122,0.6742283262029618
123,0.8207648137958521
124,0.7958048084349958
125,0.7991104443313471
126,0.8414307881136026
127,0.843279583669497
128,0.840628233278994
129,0.8512589474228939
130,0.8461259983749616
131,0.8742894756108794
132,0.8766084560463021
133,0.881435879033556
134,0.8808061214957552
135,0.8830816907685495
136,0.8851945159505256
137,0.8843834789347251
138,0.8860267268125678
139,0.8855667579253588
