Hari,Skor
1,-1.0185007310831473
2,-1.0184792281660133
3,-1.0184707884629822
4,-1.0184538099321752
5,-1.018406574655125
6,-1.0184098061818059
7,-1.0183479933890385
8,-1.0183391243054558
9,-1.0183520600580356
10,-1.0181897150680852
11,-1.0181311479210131
12,-1.0180855169808112
13,-1.018007901753466
14,-1.0179767301808176
15,-1.0178259108664602
16,-1.0177047075273697
17,-1.017624701110091
18,-1.0175591101197026
19,-1.0173924192955925
20,-1.0173749605714537
21,-1.0171427557662733
22,-1.0170233582885522
23,-1.0169704649586038
24,-1.016546895531297
25,-1.016391090505154
26,-1.016155718060629
27,-1.0163704990458502
28,-1.0156176952877414
29,-1.015325548393347
30,-1.0150130963552262
31,-1.0150802341990253
32,-1.014369790005758
33,-1.0140197012188326
34,-1.01432324084361
35,-1.0133976201594064
36,-1.0125524500962277
37,-1.0126557066118114
38,-1.011621256225948
39,-1.010905856578968
40,-1.0106658468760341
41,-1.0093678332735068
42,-1.0086897314943117
43,-1.007855955156442
44,-1.007778286976209
45,-1.0071707767838807
46,-1.0055005568592414
47,-1.0045787396867536
48,-1.0035996136911116
49,-1.0030063426946527
50,-1.0027700390482606
51,-1.0008728922109
52,-0.9995751262866548
53,-0.9985841527996553
54,-0.997995153870876
55,-0.9965956474803355
56,-0.996447899850343
57,-0.9937658183645899
58,-0.9921372445084622
59,-0.9915842692590344
60,-0.9895543666513931
61,-0.9891738297564867
62,-0.9854389600558546
63,-0.9839983859548365
64,-0.9821602958449758
65,-0.9798688325103828
66,-0.9796996885479552
67,-0.9750010470009864
68,-0.9730466500371471
69,-0.974518040403074
70,-0.9685158786036652
71,-0.9469610066218295
72,-0.947288695987641
73,-0.9251869050452746
74,-0.9196468220821863
75,-0.9155882870399092
76,-0.8869502360723553
77,-0.8866230234153623
78,-0.8643929521382827
79,-0.8555370359930787
80,-0.8230759395586058
81,-0.8151059588346785
82,-0.8075882497777231
83,-0.7644512374484675
84,-0.7463198563450912
85,-0.737477606169959
86,-0.695886516653581
87,-0.7020597536699931
88,-0.6967465514032598
89,-0.6579876482604488
90,-0.5910937725944974
91,-0.6221002603971872
92,-0.5592611491855002
93,-0.49986773817604524
94,-0.4802675851424423
95,-0.43358082309829626
96,-0.3948562005163063
97,-0.3527352850710459
98,-0.329060586269752
99,-0.31913229251273445
100,-0.23492897593972661
101,-0.25548123456255967
102,-0.1378282296774569
103,-0.13410062836103886
104,-0.033888385696993595
105,-0.04181235221989055
106,0.08422960724342854
107,0.08560907259952277
108,0.18735847498438785
109,0.2590506340104366
110,0.3355425440493578
111,0.3062681702503369
112,0.4412210304970503
113,0.5126396851634034
114,0.6177278625673998
115,0.46102800445374736
116,0.5486288091741061
117,0.6835954241448541
118,0.9197014880806287
119,0.9535384625106984
120,0.9663377801254825
121,0.9621488849283082
