Hari,Skor
1,-5.49477409912708
2,-5.493737438722816
3,-5.459606917567874
4,-5.438262719550141
5,-5.370676982898276
6,-5.28478481216884
7,-5.203933867648831
8,-5.197134570054122
9,-5.140658581558389
10,-4.974916078228358
11,-4.923888957637368
12,-4.876275634562244
13,-4.783503117774515
14,-4.666342736942062
15,-4.49669787483554
16,-4.502448322961531
17,-4.34628057409955
18,-4.175694979994945
19,-3.996608707590383
20,-3.9304111018652677
21,-3.87633140928253
22,-3.4714123538994626
23,-3.2775851806014025
24,-3.1365593037267496
25,-3.0999107806978694
26,-2.9690295577082573
27,-2.5136142745449215
28,-2.4781968768503155
29,-1.6648197433986942
30,-1.5773260326459875
31,-0.9344626555254909
32,-1.5717361950611628
33,-0.006109213877171449
34,-0.06464095299415629
35,0.253317184507898
36,0.05283000891564271
37,0.7739505291940799
