Hari,Skor
1,-2.338771269974217
2,-2.3387643588137133
3,-2.338761282951617
4,-2.3387470913214727
5,-2.3386944408732964
6,-2.338632645286578
7,-2.3385043206805376
8,-2.3384631161065226
9,-2.3383499316820404
10,-2.338178388270284
11,-2.3380661526046205
12,-2.3380799528875804
13,-2.337680912242413
14,-2.3377063805099443
15,-2.3372629240326503
16,-2.3369611980200067
17,-2.337010002416758
18,-2.3369116963618093
19,-2.3358706591662277
20,-2.335246881037947
21,-2.3348759215315535
22,-2.3340765008344366
23,-2.3334866710289672
24,-2.3323490040075017
25,-2.3312045822928456
26,-2.3297390904592774
27,-2.3281353435707386
28,-2.328330700896234
29,-2.3242280287431822
30,-2.3214867660724767
31,-2.319651048862297
32,-2.3188471804106263
33,-2.311794449955702
34,-2.3117126257286302
35,-2.303232518774807
36,-2.2979112995840945
37,-2.2928313476140665
38,-2.2865735316717144
39,-2.286528601091056
40,-2.2804742961738063
41,-2.2772770877349995
42,-2.2584630131037473
43,-2.250662390367219
44,-2.2503329862203727
45,-2.25010399988015
46,-2.2230628099230043
47,-2.212740899111913
48,-2.206640941019718
49,-2.198874305363952
50,-2.211164854526041
51,-2.167128701765466
52,-2.1493872112711028
53,-2.134559696409553
54,-2.1533800430023784
55,-2.1084777048897694
56,-2.092148685440116
57,-2.0795785017955097
58,-2.074611343082465
59,-2.046518095215252
60,-2.036708341330322
61,-2.019061610954989
62,-1.9895197792900996
63,-1.9732788515365471
64,-1.9725569285130158
65,-1.9474390631468577
66,-1.9150041420112824
67,-1.9213564885961136
68,-1.8681235258674236
69,-1.8631160024143059
70,-1.8198871745839234
71,-1.7907995330922546
72,-1.7722273133523725
73,-1.75336870457184
74,-1.720516879247874
75,-1.7215406621254075
76,-1.653036018384772
77,-1.6255145583285957
78,-1.6418171411524232
79,-1.5646829575655437
80,-1.5403447996909465
81,-1.5329892492651567
82,-1.4572738099026128
83,-1.4550502394189877
84,-1.4010600235475232
85,-1.352845400079989
86,-1.3415218270580205
87,-1.3455407206380028
88,-1.2728671384421402
89,-1.3175456623635156
90,-1.1438683322037635
91,-1.1571050308199013
92,-1.0688854744427698
93,-1.0078208004158582
94,-0.9744675325867624
95,-0.9202999373347016
96,-0.9627309148992649
97,-0.8344359279375033
98,-0.8205004784926739
99,-0.7423466015554376
100,-0.858605722951189
101,-0.6865501555499534
102,-0.575769433706995
103,-0.5244882827407693
104,-0.48001790453116566
105,-0.450554504528035
106,-0.3763877572599861
107,-0.31623910319932347
108,-0.2436123725139936
109,-0.16235571579322738
110,-0.1257298897983965
111,-0.1011718441162448
112,0.029676706583283474
113,-0.004572343867998763
114,0.1740919913655795
115,0.09434315443780128
116,0.2847705367221399
117,0.3525776061085253
118,0.42916867865617214
119,0.42876074781302287
120,0.5462222228943949
121,0.6248978345997794
122,0.5730068494285425
123,0.6936726355628736
124,0.7385125598814594
125,0.938720974618824
126,0.9723949054259664
127,0.9381977200323917
