Hari,Skor
1,-8.270388550640805
2,-99.87538905462637
3,-93.80645568923335
4,-194.59666141981037
5,-1358.5656609300067
6,-7273.87377002761
7,-98.55707331096364
8,-508.52734718196285
9,-401.8119477073957
10,-408.1714881272235
11,-451.11584868304794
12,-814.4872725868505
13,-156.59499276598265
14,-470.05556934754003
15,-387.5298322205774
16,-382.144753760406
17,-331.015963220907
18,-332.2147117211335
19,-324.20011647510904
20,-280.8218849307737
21,-306.703929535851
22,-233.29341492266212
23,-281.7201521414792
24,-232.55792159518558
25,-234.20617901543474
26,-173.02581217629938
27,-181.49268010088224
28,-165.95679232072584
29,-160.51243477814484
30,-102.00860142446231
31,-80.91606606959938
32,-89.64389600695534
33,-68.86318309670278
34,-64.08069497020766
35,-86.74406634219247
36,-86.78736543023331
37,-49.4301555446445
38,-46.63730222100242
39,-58.897243901988894
40,-55.23729106177875
41,-54.07903492599436
42,-37.42069194252052
43,-46.743365534462235
44,-58.95678550754383
45,-31.891863195815624
46,-24.80484613471152
47,-34.7266805441323
48,-38.94136554693443
49,-31.849169923793895
50,-39.3460739916207
51,-31.62703248673511
52,-24.600327402525433
53,-20.757180051698608
54,-18.472101443904588
55,-21.102439400180216
56,-17.757576496566085
57,-19.13224325777343
58,-17.33395009200562
59,-13.619826569960527
60,-14.004149909901049
61,-11.48611821153182
62,-13.73183608295195
63,-10.64546912150671
64,-14.658445396832057
65,-10.184786112744002
66,-7.088272455792776
67,-10.249555213846378
68,-9.20875451990794
69,-7.579680372214559
70,-6.356882758589308
71,-7.088152088231464
72,-6.36942253049555
73,-8.883163508248435
74,-6.154873407730844
75,-8.435889080148621
76,-5.6376942464837105
77,-6.9058139368621605
78,-6.404705658729459
79,-3.474592399551578
80,-4.039210267521909
81,-5.785726242693266
82,-3.807670123791681
83,-2.279485230638741
84,-3.7406983802780065
85,-3.8076630960962907
86,-3.858222015954145
87,-3.3598650412065094
88,-2.6014670194530987
89,-2.055910809583849
90,-2.0526569519862123
91,-1.6645413471540995
92,-2.771941374273959
93,-1.0130077483055637
94,-2.5794184925244
95,-0.8758493434475634
96,-0.5247098441914497
97,-0.8417858044916531
98,-0.43315272405724214
99,-0.5779687268336857
100,-0.9532006979998318
101,-0.45347526160769713
102,-0.05472781556990891
103,0.04807767517047201
104,-0.250086025795611
105,-0.06124872870151754
106,0.40429500395170337
107,0.23981567553675098
108,0.2571408815295336
109,0.41298831001417136
110,0.2747954619422146
111,0.38571285222602847
112,0.48044519955202847
113,0.4610078024053623
114,0.4599799957172849
115,0.3932675728862197
116,0.5829601343054773
117,0.5831701280821044
118,0.5686406830611848
119,0.593686815351429
120,0.5792461187810902
121,0.5980874753172762
122,0.5927575335630939
123,0.6115307037397684
124,0.6082045274524501
125,0.6303411038875435
126,0.6196675537147923
127,0.6211352039048995
128,0.6224334383096662
129,0.6223400251588886
130,0.5886322084313775
131,0.6375234358754036
132,0.5889113130064909
133,0.5635377371217241
134,0.6021770513891189
135,0.6019140080178453
136,0.5829862804340922
137,0.639605267268694
138,0.6098469285889387
139,0.5892789053861209
140,0.6368747233223288
141,0.5590504349866525
142,0.5595650071362968
143,0.590969376479034
144,0.6223549225992278
145,0.5552557976689525
146,0.5454258958269906
147,0.6226605014617936
148,0.6375960606449009
149,0.5808824290743132
150,0.6209712597701755
151,0.5510677009051749
152,0.5077653965843378
153,0.58754903349277
