Hari,Skor
1,-1.2670471848513793
2,0.8079196439458266
3,-13.332992196817557
4,-97.26734880688883
5,-1308.891303558872
6,-56566.45000874117
7,-3164.37524020126
8,-851.357204585284
9,-1864.718555057729
10,-1296.848445423237
11,0.9602573272643323
12,-1972.7783988929975
13,-758.1780427385089
14,-674.8071826756125
15,-0.8667651607056999
16,-295.3656392929536
17,-38.110879143893634
18,-14.69532348883791
19,-2.1188411439426105
20,-3.5639439598517875
21,-37.74777114293266
22,-9.671634626058815
23,-12.320886433552966
24,-8.54607740800887
25,0.7908714518310045
26,-4.477127824175281
27,-8.985509194311174
28,-2.445594097086362
29,-3.0178941528946677
30,-19.092016168236064
31,-45.01555012270954
32,-40.403476826871426
33,-45.96572259617063
34,-59.54423669080017
35,-76.829635015192
36,-68.01955098096042
37,-74.81950380712506
38,-70.76239031472608
39,-70.7806692495466
40,-69.40532510755972
41,-58.64338875203172
42,-50.22478162351292
43,-49.153863986635045
44,-49.640809076669285
45,-44.55003412557805
46,-41.96405957308578
47,-32.53050909305939
48,-37.931760143961576
49,-24.958443227565017
50,-19.750997506831016
51,-15.892468903356338
52,-15.916676539068948
53,-16.439852148505757
54,-12.770291755772982
55,-9.120507756642994
56,-6.546219013911978
57,-5.92929565260219
58,-4.972965286421843
59,-4.312304350161651
60,-4.556090885424996
61,-3.095718403208015
62,-2.793891487426142
63,-1.9508408471309084
64,-1.4981090070747398
65,-1.3474278599055447
66,-0.9959317201356443
67,-0.48301268338945125
68,-0.9205451316686419
69,-0.734563472360013
70,0.05009131417570567
71,0.13252019759418432
72,-0.5419127201574268
73,0.6300880368343381
74,0.49010227203253554
75,0.8127455626835117
76,0.9454945383659086
77,0.9487731593864683
78,0.8595871674795399
79,0.9203700814944429
80,0.7563555793118311
81,0.7903871473278294
82,0.5296428834104052
83,0.46866719332093376
84,0.1583223127194453
85,0.19416923039950784
86,0.03378995592640721
87,-0.44200482203667146
88,-0.13685730089659387
89,-0.27335386735639444
90,-0.4877732730899451
91,-0.4169597710229458
92,-0.3741050283001668
93,-0.2757420263142649
94,-0.33092678717372315
95,-0.2026306937785094
96,-0.07682532257567787
97,-0.061466169417584204
98,-0.02378634993913309
99,-0.0456171600180193
100,0.04155463295133288
101,0.11906537521886063
102,0.13748005682991848
103,0.25722145844687205
104,0.28875554578111984
105,0.34596932637057076
106,0.5254209499815451
107,0.46917701177648763
108,0.5488026928521534
109,0.61662237707963
110,0.6462190886279202
111,0.6670171575387258
112,0.6589999348092936
113,0.7166407646108393
114,0.6184712476190308
115,0.7370038571064947
116,0.7648582585960854
117,0.8011494908301927
118,0.8089512718213441
119,0.8566101351359999
120,0.8621612332194497
121,0.8805472314390776
122,0.8956650004087879
123,0.9051523485823104
124,0.9231099304799871
125,0.9167560404692464
126,0.9322239133837842
127,0.9340490348408702
128,0.9372503012369864
129,0.9525308317417982
130,0.9646394224041467
131,0.9671941362379405
132,0.9702190914270818
133,0.9754239641912593
134,0.9750110490260749
135,0.9803421091886138
136,0.9838483854618159
137,0.9860247163510131
138,0.98482887864938
139,0.9865326927992285
140,0.9877916474370604
141,0.9892852839031497
142,0.9892764938123092
143,0.9900089549116046
144,0.990404581767187
145,0.9910441974451055
146,0.9910345522788157
147,0.9912331916649912
148,0.9912136316313317
149,0.9911974710255711
150,0.9912787185246421
151,0.9914008744947886
