Hari,Skor
1,-2.5715904947343735
2,-2.514899634340747
3,-316425796.9714005
4,0.41399080906973273
5,-0.12831566756342783
6,-186.18565191771472
7,-32.13364398571073
8,-2.3658597448471927
9,-8.076448605662554
10,-1.9863122407907583
11,-2.9201406866846034
12,-0.2626696706603504
13,-0.4057903156275702
14,-0.7025310068315473
15,-0.10432119306378329
16,0.6412667831704253
17,0.709274197299339
18,0.8074235256000523
19,0.6563085201252649
20,0.7053649613929469
21,0.6965470484129923
22,0.710542283923546
23,0.8311188275521184
24,0.7739459047590602
25,0.7859437753431815
26,0.8532261287441669
27,0.8544376711485564
28,0.8559150315157424
29,0.8531549304987329
30,0.8407985409255478
31,0.7131049376300873
32,0.8423859554876874
33,0.6258364068490654
34,0.841395683436382
35,0.685427627893413
36,0.6725569894519781
37,0.5658832416620546
38,0.6504856893137955
39,0.06329520986263348
40,0.12482392734796266
41,0.20501701863824406
42,0.16920063580243638
43,-0.1933150334379412
44,0.13339699021901485
45,0.14559738436149428
46,0.141250280664036
47,0.09146197252076183
48,0.06335326089486326
49,0.10928414213814519
50,0.1406948375871604
51,0.2522875111223494
52,0.24761272012672864
53,0.006410393033370654
54,0.32431040313181947
55,0.23240465483473427
56,0.2521593218429835
57,0.24906200902636333
58,0.3180418315135928
59,0.5136775538621192
60,0.4933250509733229
61,0.5691721630467044
62,0.5375839989339254
63,0.6064423076757576
64,0.6111017881280036
65,0.6093986497397219
66,0.6068233967093586
67,0.5668247561955833
68,0.6183172202072192
69,0.6988538899391648
70,0.6736665670317574
71,0.7070117101951459
72,0.692842054580731
73,0.743218353320896
74,0.7021060566999617
75,0.8089050596817726
76,0.7982181433781518
77,0.7070199872023573
78,0.7177894310668449
79,0.7865349377479532
80,0.7764814946026323
81,0.7817855017908352
82,0.833985434551984
83,0.8337984880495672
84,0.8367499058123807
85,0.8471754261251923
86,0.8510941778250144
87,0.8695598122283823
88,0.8726691760652303
89,0.8774410138648243
90,0.8323865141653495
91,0.865598930104648
92,0.8889548624073316
