Hari,Skor
1,-21.882589234662184
2,-3613.089308786384
3,-64477.02084948784
4,-3568427.5687868544
5,-179605215.7140898
6,-225404715.50728017
7,-3757272.105443016
8,-18585212.794560183
9,-4329907.118076061
10,-816137.272060959
11,-3189028.1547278278
12,-238874.5483991327
13,-401929.7140748989
14,-1270710.0820236127
15,-2169124.1212218576
16,-2820787.9704236416
17,-3996131.10123523
18,-2799242.619706219
19,-2409823.041416751
20,-1753661.657881861
21,-1573176.912375217
22,-677180.7089602408
23,-302822.9278088935
24,-259841.5717539933
25,-318445.4017576593
26,-37946.589370256144
27,-42522.31318087856
28,-16887.75356740025
29,-2560.381035515224
30,-213.0630780764367
31,-3091.5876949361614
32,-3039.0099721513916
33,-5896.35481738751
34,-6890.634494500479
35,-66875.2413140904
36,-12459.78481020445
37,-7027.086439767193
38,-6752.208352024373
39,-13418.345913172976
40,-10474.840313811736
41,-10650.5393864408
42,-7931.951168641439
43,-11117.305624824918
44,-10170.313775777644
45,-12162.848358403226
46,-6578.20800300443
47,-8231.927160899675
48,-6367.407446703672
49,-6155.265114943651
50,-5009.621814343713
51,-3848.764939786713
52,-6451.697330404744
53,-3986.484868220074
54,-3071.662620380455
55,-3215.83672489787
56,-2519.3597382633134
57,-3069.7641638671257
58,-2066.9196520758683
59,-1717.3339712002796
60,-1830.6442533233724
61,-1594.7070873130372
62,-1293.8768962460053
63,-1032.767145150964
64,-1043.3891988990174
65,-1011.7203942578625
66,-912.9637760540922
67,-907.0744089674424
68,-594.2080883908899
69,-615.4571454587187
70,-538.027704123339
71,-544.7614619028565
72,-354.7757549120271
73,-425.02604297677533
74,-348.298506569397
75,-301.7478793157986
76,-312.07928631385295
77,-296.87419928281037
78,-157.0225765054002
79,-198.82989878551336
80,-171.11724079924616
81,-194.88070619421595
82,-115.96046860353069
83,-110.89764967600274
84,-102.05423495183064
85,-73.71065791115234
86,-108.08860212899262
87,-80.41277138215999
88,-46.42774498024379
89,-58.77011991495357
90,-40.1970667120213
91,-44.330461907140716
92,-33.22450862549523
93,-41.34844340813205
94,-30.55600482967038
95,-26.96805019149682
96,-27.844090612492117
97,-25.62258112910609
98,-15.50501610833636
99,-18.912364975838766
100,-10.086917390210774
101,-13.23544386862035
102,-10.001778887000075
103,-7.531126440019596
104,-8.306375511261507
105,-6.43145658581405
106,-6.094974376883381
107,-3.458393483098405
108,-4.378098337633405
109,-4.176871836985526
110,-4.028786271626947
111,-2.6097600039351807
112,-2.2053162931095738
113,-1.0432379631059634
114,-2.7141091362625462
115,-0.992025450335706
116,-1.0300697708693405
117,-1.1628105385348766
118,-0.7294389598970561
119,-0.6939041943096504
120,-0.06965456080577459
121,0.12976325037433611
122,-0.7193139877516124
123,0.3463782585854164
124,0.22259169383015642
125,0.5254205478635405
126,0.5099119996166586
127,0.5117275995904836
128,0.5233149925977483
129,0.5100020896773443
130,0.6112804308341281
131,0.6784052397292291
132,0.6434009299098882
133,0.7028324251112716
134,0.7093754553774161
135,0.7110062299886724
136,0.7237418754598602
137,0.7262799279737631
138,0.7401024503257216
139,0.7437703553000239
140,0.7486499108946906
141,0.7495857277678355
142,0.7492762731730439
143,0.737342952081262
144,0.7505910344889587
145,0.7519141452777329
