Hari,Skor
1,-0.6042923441078583
2,-2.46887913875632
3,-6.256743034436076
4,-364761.5523722506
5,-4866.622262769296
6,-21.53857888558271
7,-58.714340165588574
8,-10.04684891079112
9,-23.10126751366393
10,-0.10297942509656344
11,-10.139821032558926
12,0.6866339446489823
13,-0.42480802393105543
14,0.6732653535438018
15,0.7030354949634595
16,0.7092237872530562
17,0.7188033111695257
18,0.7612015342241394
19,0.7014585617712317
20,0.7617011505701048
21,0.6623516868745056
22,0.7435556572285258
23,0.6202222129719573
24,0.7480848227288704
25,0.7539019731663646
26,0.6325894426666578
27,0.5522861849760649
28,0.5195849537325787
29,0.5396899172004277
30,0.3760842314040035
31,0.45055462752689124
32,0.5220897170698895
33,0.37783092060505175
34,0.4213186252986951
35,0.3889544802243874
36,0.2949804029319052
37,0.321738667228486
38,0.20875434972721396
39,0.2560033267262366
40,0.12670017993418203
41,0.18022706307221537
42,0.015045324373522462
43,0.044196035157257896
44,0.10809133425482798
45,0.09456148178317436
46,0.00426330300304445
47,-0.06287056065953678
48,-0.04910140963864329
49,-0.21664891291040278
50,-0.030302885617107478
51,-0.10668197212856612
52,-0.20427362283760853
53,-0.06367332995949337
54,-0.11871921866776503
55,-0.1519462804936449
56,-0.17309907214193343
57,-0.10113202174824565
58,-0.25830624079066733
59,-0.28818934486089165
60,-0.23086772446318915
61,-0.2741444747553352
62,-0.2753645712554318
63,-0.21763287486252003
64,-0.2568471242991943
65,-0.27542356690559355
66,-0.3119715432654606
67,-0.28853618875657516
68,-0.29522417241168597
69,-0.341950638505367
70,-0.305957897895212
71,-0.31852981498872746
72,-0.32240169980342337
73,-0.3194689293298574
74,-0.3052672495385358
75,-0.3064280656329377
76,-0.3375898364531562
77,-0.3285446976651212
78,-0.33378350439374294
79,-0.3453051719435021
80,-0.34490853834227786
81,-0.31106264835983133
82,-0.3277722584468712
83,-0.3277094405378467
84,-0.315989825359813
85,-0.2987259167853087
86,-0.29231987809136806
87,-0.31565456336686815
88,-0.2861323787511356
89,-0.27110893609011266
90,-0.2781729489927489
91,-0.26492682170876125
92,-0.27094785265912336
93,-0.2337941223306077
94,-0.26628512738044585
95,-0.21135813938173698
96,-0.26262306859351114
97,-0.23796388754932574
98,-0.19439730497957686
99,-0.2648522642862132
100,-0.19679205585189186
101,-0.22366254554034604
102,-0.09920465230372244
103,-0.09954994644051385
104,-0.20054697085695472
105,-0.06004239580708304
106,-0.14592430732642758
107,-0.049331822758092336
108,-0.0511423146647112
109,0.03759094567271626
110,-0.013812046109199061
111,-0.013957066889842773
112,0.19058226428810987
113,0.09691984154561584
114,0.0518074553774821
115,0.008107559685816224
116,0.19986780573808804
117,0.19685992241275774
118,0.249064123042952
119,0.31597367487814665
120,0.42664770978729283
121,0.25714837384907085
122,0.2509884871796382
123,0.4186294339242531
124,0.5766887440209105
125,0.5765523048132122
126,0.5283317552059719
127,0.5284802719695175
128,0.7321080202567106
129,0.6076852576583769
130,0.5765555063761942
131,0.73472981121338
132,0.7528673422189173
133,0.7789116910507606
134,0.7575176275995412
135,0.8001079906482775
136,0.7884775065453729
137,0.7469998255412137
138,0.7723847489466054
139,0.8126285920995666
140,0.8129282057557254
141,0.816410537547993
142,0.7997709642101574
