Hari,Skor
1,-2.778334204899826
2,-2.7706203530412186
3,-2.767347349164237
4,-2.7508231157931324
5,-2.7389781815259115
6,-2.737158792393721
7,-2.721767748317222
8,-2.7049249298022624
9,-2.6583519141995775
10,-2.6188039211532255
11,-2.5757484627107803
12,-2.5305087187015047
13,-2.4593561132825736
14,-2.378846279328167
15,-2.2970674521453165
16,-2.2100259558338053
17,-2.200515811270883
18,-2.000914217377891
19,-1.8755693121023969
20,-1.7474942243973364
21,-1.8672441216613764
22,-1.4092597277918224
23,-1.2590765056178177
24,-1.084040089975122
25,-0.919099270057788
26,-0.7561870319220114
27,-0.8129153987113047
28,-0.729869848200924
29,-0.35968628969758787
30,-0.05843990772824892
31,0.453530104351734
32,0.747674984206876
33,0.9662658408775782
