Hari,Skor
1,-0.7535496842730958
2,-0.008041184782396238
3,-17.592175280950777
4,-179.05858262379914
5,-406836.68391764705
6,-973.1105582878946
7,-10178.147676591845
8,-307.8680626229945
9,-5300.682323098086
10,-43.63065230853505
11,-28.80677887053279
12,-0.6685513953053683
13,-19.563530130198018
14,-21.713893201704167
15,-2.545806312199191
16,-271.64025046566957
17,-83.54371530078252
18,-110.42896860010615
19,-162.64378612436158
20,-79.23990242600729
21,-69.7036441708662
22,-40.96438323873474
23,-39.12985357936289
24,-54.397287742075406
25,-32.38312866662203
26,-5.606631148504049
27,-3.706745386447352
28,-5.403200023234823
29,-4.332925847999127
30,-43.1789782867446
31,-37.17573077876243
32,-50.240268367716624
33,-21.349377077350315
34,-31.63616756029043
35,-63.49926650111753
36,-66.00482961133241
37,-54.759033431563516
38,-36.764135820845716
39,-35.19625533470828
40,-21.110521027791545
41,-9.699602572238998
42,-4.997789498685982
43,0.4106241192002765
44,0.4815958460778942
45,0.6804118102827366
46,0.45950046569398084
47,0.791333642378785
48,-4.135856872100643
49,-3.3810737447701085
50,-5.799932058009958
51,-6.414459594620212
52,-3.0509448691642973
53,-6.594810762130593
54,-7.492109281610851
55,-4.8993137665636
56,-6.263009326013649
57,-5.307282717183505
58,-6.242525819137053
59,-4.708684521133855
60,-3.797782199355341
61,-3.707545575532375
62,-3.6115386314613342
63,-2.799422032950925
64,-2.8171023943389804
65,-2.1995103834805465
66,-1.706383997157701
67,-1.7329490567917638
68,-1.4886087557771748
69,-1.2469195190274096
70,-0.8483425278297421
71,-1.1134191837632348
72,-0.8111515128312923
73,-1.0555474607067312
74,-0.7486494831218053
75,-0.7054722755139726
76,-0.5667255209973698
77,-0.49047736688207033
78,-0.4591006147237877
79,-0.45179425510114823
80,-0.4191371689614276
81,-0.2134716592383179
82,-0.15710369351020215
83,0.05575363836842595
84,0.24644418868420004
85,0.40563339544760857
86,0.5447778046517708
87,0.7278150614801198
88,0.8171362741271664
89,0.8598633811508278
90,0.8547916338211592
91,0.888410454038133
92,0.8922214032836868
93,0.8727057944533638
94,0.9059661008002758
95,0.8898092612901396
96,0.9022710419009095
97,0.9073014230660797
98,0.916267878058058
99,0.9032615288803564
100,0.9140684737026666
101,0.9209182255557986
102,0.9170097687346138
103,0.9273416651927532
104,0.9468992999709805
105,0.95384365425572
106,0.9419451594601969
107,0.9497614617270077
108,0.9528683931880199
109,0.9499259600617376
110,0.9501764357937075
111,0.9601962713991437
112,0.9597075744152572
113,0.9506305668659369
114,0.9614791514229981
115,0.9565630951815939
116,0.960224037915979
117,0.9618466156852054
118,0.9620734591494602
119,0.9684900236115105
120,0.9688895659837583
121,0.9652776432147772
122,0.9728355647421002
123,0.9701581513039983
124,0.968464645156365
125,0.9721685880056035
126,0.9711017822545782
127,0.9751047166289036
128,0.975448496010202
129,0.97850314781711
130,0.9790187806497478
131,0.9834601958913194
132,0.984058108953565
133,0.9850975967253476
134,0.988196694535832
135,0.9872149461723627
136,0.9889212366729944
137,0.989157022257892
138,0.9891758175360894
