Hari,Skor
1,-1.9124694826294921
2,-1.9124694704494472
3,-1.9124693000384796
4,-1.9124691829857006
5,-1.9124689147759701
6,-1.9124685641196741
7,-1.9124680111808758
8,-1.91246801450392
9,-1.9124660530135738
10,-1.9124645266668394
11,-1.9124627331910844
12,-1.9124599583201158
13,-1.9124599113839338
14,-1.912456368797939
15,-1.9124442082427549
16,-1.9124441980868707
17,-1.9124229735971268
18,-1.9124055504266866
19,-1.9123829915883914
20,-1.9123620923315459
21,-1.912312419903028
22,-1.9122595826840971
23,-1.9122588661791902
24,-1.9121073021715689
25,-1.9121000014005785
26,-1.9119797784160077
27,-1.9116525324680307
28,-1.9114139224516085
29,-1.9112015943792873
30,-1.9108285532779368
31,-1.91114592747464
32,-1.9104862037294974
33,-1.9095840077107753
34,-1.9089690960466963
35,-1.90847601234152
36,-1.9074880626867823
37,-1.906622363424448
38,-1.9058227797578833
39,-1.9043865058799625
40,-1.902936357472842
41,-1.901520923245963
42,-1.8996445298386804
43,-1.8977031331725156
44,-1.894915791261429
45,-1.8927903652085427
46,-1.8925097267316966
47,-1.8902374221599776
48,-1.8903624131259629
49,-1.8839873728485745
50,-1.8742607218552858
51,-1.8700607210384792
52,-1.870018529165184
53,-1.859544862184261
54,-1.8542354647306216
55,-1.8488321863681594
56,-1.8483652395441168
57,-1.8381502737107152
58,-1.8277512443942072
59,-1.819897269487309
60,-1.812549730146885
61,-1.8126968145900118
62,-1.7992758690839565
63,-1.7861188666776244
64,-1.7769776476236565
65,-1.7754141477814351
66,-1.7596224824441618
67,-1.7529261426695295
68,-1.7403299441609206
69,-1.7209865314620112
70,-1.7230564929459544
71,-1.7091025289340238
72,-1.6856543695129695
73,-1.6806654687319473
74,-1.6538470854361274
75,-1.6422993435074522
76,-1.6335007006013216
77,-1.6092766549694582
78,-1.5932228035326688
79,-1.5907714323956013
80,-1.5573129223570579
81,-1.5374074972827039
82,-1.5185245146850321
83,-1.5047940766164203
84,-1.4869614749138744
85,-1.4796370556174052
86,-1.4397910725703027
87,-1.4228415830902676
88,-1.4062610555625588
89,-1.3698071715256916
90,-1.344006404219165
91,-1.3725896879409816
92,-1.3083543497351555
93,-1.2962030031898348
94,-1.2442756729671967
95,-1.2503982290230433
96,-1.194034345666021
97,-1.1904506249484679
98,-1.1550432379340716
99,-1.112285775047027
100,-1.082727252101408
101,-1.0390184892234888
102,-1.0451041438164372
103,-0.9861974454343785
104,-0.9524590748226844
105,-0.9455113094494132
106,-0.8808990066564868
107,-0.8510236791001082
108,-0.8644644236276955
109,-0.7918828666772229
110,-0.7458767997667233
111,-0.7033966046478279
112,-0.6672826147703568
113,-0.6714135533304184
114,-0.6219817780743178
115,-0.5940256750220296
116,-0.554460456379072
117,-0.4830930007064369
118,-0.4493121190408287
119,-0.39644738870659646
120,-0.36074763130766363
121,-0.3685810362729398
122,-0.32352892424890434
123,-0.23370413833813575
124,-0.18258531041435888
125,-0.11777053653573755
126,-0.09582061344257164
127,-0.0735679147720878
128,-0.010391521136025705
129,-0.03759560884895374
130,0.1262865944319007
131,0.06081060442627373
132,0.1976943166521974
133,0.20289035129602317
134,0.21065329421366452
135,0.35310877300497345
136,0.3412163157503654
137,0.356432360160992
138,0.4956614020482717
139,0.46319671332547563
140,0.5951095738991263
141,0.6863797780928608
142,0.6566647318340627
143,0.7590663874354833
144,0.7867877833480273
145,0.8172026845236053
146,0.9144548700194738
147,0.9164667456998183
148,0.9413691629977246
