Hari,Skor
1,-1.6962132406404975
2,-1.5999744845265336
3,-0.9381898425832782
4,-0.4627969300615813
5,-1.2676466285171566
6,-2049.4772550314046
7,-69.83344765336858
8,-0.22174269683645553
9,-6.656143265131344
10,-1.224367994318118
11,-3.6095901037119997
12,-8.290054066254156
13,-10.0692444288132
14,-9.6199760782892
15,-7.66688751394978
16,-24.865329936433504
17,-14.697792366346182
18,-7.515122104824821
19,-4.736401421434384
20,-3.783530215391356
21,-5.1977121521768845
22,-8.060300456332468
23,-6.115265559451189
24,-7.570358983658334
25,-13.435088914460353
26,-14.257186434216385
27,-18.357310763890954
28,-19.25277690181425
29,-31.443217701233912
30,-34.82110040156452
31,-37.48619372302225
32,-31.5247680686687
33,-74.5738475639953
34,-70.14481639515334
35,-65.03412906535617
36,-63.83015421682961
37,-58.39584590211131
38,-56.91438398285515
39,-57.007428097393806
40,-47.92246516901034
41,-39.88525564213636
42,-33.70727499495123
43,-32.62554359882294
44,-27.73192298056494
45,-27.15731717159489
46,-24.175090622601434
47,-24.28773404342533
48,-27.429852389626134
49,-23.820675354704974
50,-26.71600804189716
51,-26.12670358971035
52,-25.52994652158884
53,-25.58723642743096
54,-23.819095685896517
55,-23.90827740765525
56,-24.447484125160845
57,-20.135493872848993
58,-16.986116583614315
59,-16.499129929996226
60,-14.201246899972057
61,-13.223440437243434
62,-10.064400658562768
63,-9.371365649640621
64,-6.948708966705804
65,-4.150709642643168
66,-2.9200357359989386
67,-2.4594025069259566
68,-1.8748323613347742
69,-1.0329996315508896
70,-0.6244720483344028
71,-0.8481075002402501
72,0.26363228010566453
73,0.28229612678985205
74,0.6324907237958748
75,0.6766779837587047
76,0.8464574167642525
77,0.9793628725946194
78,0.9872723066338962
79,0.9426594638292181
80,0.985876330123806
81,0.9881403678220134
82,0.940384720559871
83,0.9858678790942971
84,0.9171837321193651
85,0.9566748135647463
86,0.9494494053993178
87,0.8914455034010248
88,0.8726746101097748
89,0.868606120931293
90,0.8560520215872618
91,0.909046979359621
92,0.8881554399153789
93,0.8909454416763392
94,0.8262576539160196
95,0.8769837864482481
96,0.8977387374770786
97,0.859512448045302
98,0.8723094958482104
99,0.868777562189005
100,0.8721422930064991
101,0.8683566195207837
102,0.891049391735185
103,0.8348416309984273
104,0.8916576515832455
105,0.881690345722149
106,0.8870350323247691
107,0.8665957540893398
108,0.8861189270346113
109,0.8891345533584412
110,0.9003859056793397
111,0.905145954639732
112,0.9171716189379641
113,0.9151570193757445
114,0.9131561319182243
115,0.9220811872957777
116,0.9304945636142459
117,0.9315541714660442
118,0.9361898419140743
119,0.93627426216931
120,0.9524121866942212
121,0.949840826287987
122,0.9546774363738784
123,0.9650589969463126
124,0.9685476420095416
125,0.9706809056421557
126,0.9723577780192997
127,0.9763140420203531
128,0.9735870532978765
129,0.978385245698935
130,0.9839878759264983
131,0.9808458955037248
132,0.9863121022595133
133,0.9867392426689254
134,0.9885028911106789
135,0.990184914867454
136,0.9896571112240412
137,0.9899190405483117
138,0.9927772110551841
139,0.9933723537787245
140,0.9935432573994182
141,0.9948851428003088
142,0.9954609388843785
143,0.9957684728261746
144,0.9953175769843784
145,0.9962392798247727
146,0.9961845906211733
147,0.9965297182144648
148,0.9969037387972869
149,0.9971401476427546
150,0.9972977493563728
151,0.9971897271101084
152,0.9970623514100603
153,0.9974981904459702
154,0.9975380242410733
155,0.9975454700320322
156,0.9975277701043479
