Hari,Skor
1,-6.316038315621873
2,-6.294533170273335
3,-6.289859240646686
4,-6.279386072844263
5,-6.27249014740279
6,-6.22570394835941
7,-6.219373300366771
8,-6.189128415323346
9,-6.111534952833249
10,-6.092798674737053
11,-6.061226882691522
12,-5.981609900944071
13,-5.96667378415749
14,-5.962554823538882
15,-5.856217222654267
16,-5.686820986621883
17,-5.64780313529187
18,-5.540235794272143
19,-5.552206245942573
20,-5.4210689318860945
21,-5.391740177091628
22,-5.142334438960879
23,-5.058731229585736
24,-5.0239977177261865
25,-4.920762860823889
26,-4.70081541964927
27,-4.732671728819461
28,-4.724280483157683
29,-4.432119959482697
30,-4.428850529422035
31,-4.15512910736878
32,-4.135875358184764
33,-3.911116657213964
34,-3.7904779048929775
35,-3.6512868387574615
36,-3.6656631480035644
37,-3.106397372892814
38,-3.0430775018891794
39,-2.9194249885706167
40,-3.1080591952539187
41,-2.8597130686789116
42,-2.598405852253137
43,-2.0632539133282095
44,-1.6494893535985145
45,-1.7421865764984048
46,-1.8554884136358045
47,-1.2816663262033035
48,-0.8983549595629996
49,-0.577247376665097
50,-0.8969262372003988
51,-0.009015181294739438
52,0.1660278267061397
53,0.11401421078096208
54,0.5749519305646165
55,0.80705327735424
