Hari,Skor
1,-2.1348842149989378
2,-2.1348842149989378
3,-2.1348842149989378
4,-2.1348842149989378
5,-2.1348842149989378
6,-2.1348842149989378
7,-2.1348842149989378
8,-2.1348842149989378
9,-2.1348842149989378
10,-5986.730953919581
11,-8712.032286992611
12,-3672.3940500339354
13,-107.57665084370285
14,-8.281840223764203
15,-89.27872765663196
16,-603.4799679441204
17,-97.73893118143987
18,-304.99839884308125
19,-137.0801123060352
20,-82.57730789851905
21,-117.16876158965152
22,-77.71589721630524
23,-34.652883284880225
24,-11.114645751326668
25,-17.313080582940955
26,-1.0621879415613216
27,0.6124454639588244
28,-0.21246693192739552
29,0.640762363792369
30,0.8136773810615778
31,0.9043037957745651
32,0.8848181999988797
33,0.9031657473191179
34,0.9136007767423544
35,0.8962046218072452
36,0.9077198689042596
37,0.914420878293764
38,0.9097797041238836
39,0.9052885947470806
40,0.9140898930933848
41,0.9148790310118304
