Hari,Skor
1,-5.130321650076509
2,-5.130319843773491
3,-5.130315739021339
4,-5.130306965162585
5,-5.130307134678262
6,-5.130290773642962
7,-5.130214540466257
8,-5.130140033626101
9,-5.130210386646205
10,-5.129859320654481
11,-5.129595632483117
12,-5.129220832911112
13,-5.12866836768476
14,-5.128619900932727
15,-5.1266524511544915
16,-5.125264832086995
17,-5.123454515136615
18,-5.120461313012006
19,-5.120467315965901
20,-5.112375496584914
21,-5.106102662396028
22,-5.106152798373103
23,-5.099826265740776
24,-5.106097877059664
25,-5.083612534624783
26,-5.061103701971904
27,-5.047860351817016
28,-5.037175938259924
29,-5.017463731323982
30,-5.001610310747275
31,-4.987914087135503
32,-4.961651685427912
33,-4.940186363485146
34,-4.942283989190737
35,-4.894776756357683
36,-4.903717622715995
37,-4.850700526192149
38,-4.818754236495808
39,-4.818942297855591
40,-4.7712507682441565
41,-4.735972002228468
42,-4.740973160543758
43,-4.700449291695768
44,-4.7033791339027555
45,-4.635617509346226
46,-4.572186761529932
47,-4.562426721551365
48,-4.570978206799495
49,-4.547938474450711
50,-4.433144943338848
51,-4.39275011939374
52,-4.379709661948506
53,-4.315121770636749
54,-4.3139806572039365
55,-4.296759666551388
56,-4.209307985238165
57,-4.158986945111382
58,-4.154382923558779
59,-4.124873253858752
60,-4.069369613301668
61,-4.005825421371111
62,-3.973919715230992
63,-3.9232367417030405
64,-3.909969861547606
65,-3.8785575644639474
66,-3.9121137971508286
67,-3.7303159519352898
68,-3.7237381338178803
69,-3.6647439278551417
70,-3.747347738639453
71,-3.6019072858605563
72,-3.6037045269956085
73,-3.6177333492940695
74,-3.4406188250519376
75,-3.4358469514970738
76,-3.343444382757796
77,-3.3878473645187963
78,-3.3286749363444983
79,-3.1985274772284935
80,-3.19926977971373
81,-3.280078137976834
82,-3.166061808013918
83,-3.0470550404552874
84,-3.0138329832487196
85,-3.0803175629196335
86,-2.8912587210722562
87,-2.9368002388660326
88,-2.8713387208114085
89,-2.744914841884449
90,-2.7447622874196616
91,-2.6320678978281253
92,-2.660913827746257
93,-2.5552980986224645
94,-2.524590183433275
95,-2.557935392820596
96,-2.3994405312378
97,-2.383636503471792
98,-2.386275713372569
99,-2.31892431721165
100,-2.211805877061361
101,-2.203407560486422
102,-2.1017282056881417
103,-2.038485640010453
104,-2.0874537819834695
105,-2.050935489211434
106,-1.9634509898667991
107,-1.9916603975847704
108,-1.872457595554787
109,-1.7796717599529304
110,-1.6920268263923348
111,-1.6852605876817979
112,-1.7030092059288902
113,-1.5905476279196127
114,-1.590735979267624
115,-1.498154594055213
116,-1.5404859586951631
117,-1.4293652321599484
118,-1.49911683167073
119,-1.292705899283166
120,-1.2271864658307585
121,-1.2443654544300622
122,-1.1887412903763512
123,-1.0849177491433872
124,-1.1637171270634288
125,-1.010237700437452
126,-0.9317517366044612
127,-0.9174823584849345
128,-0.9919808145204949
129,-0.8020150913786959
130,-0.7665901041619909
131,-0.7945757061337344
132,-0.6418975067721935
133,-0.4441839411041981
134,-0.6176761141603173
135,-0.46743935080105303
136,-0.37311926227650094
137,-0.23405860277040968
138,-0.2459388116794825
139,-0.23122373666835472
140,0.0007199465322498266
141,0.007944324309638318
142,-0.13501778696043276
143,0.21799966799195092
144,0.30602449024913714
145,0.40547526354587404
146,0.5752399103079868
147,0.37733222320316484
148,0.718424139795306
149,0.6044176085438266
150,0.6745022516217944
151,0.8339658333392421
