Hari,Skor
1,-4.8203826011618975
2,-3.5510483070500536
3,-0.5987575549448678
4,-211.83059568454212
5,-2697.6978553733193
6,-1329.707481657325
7,-3475.560748391149
8,-14985.372561565022
9,-11047.073417356978
10,-14042.29381143914
11,-11242.967732460766
12,-10801.974597108698
13,-10967.342693971867
14,-11471.944505663714
15,-4845.118630956507
16,-7473.741604224443
17,-10678.761711628998
18,-7053.6116663861785
19,-15270.663424343904
20,-14634.919961802625
21,-9135.448230919636
22,-12122.870032492468
23,-14025.93016427607
24,-15428.864208506599
25,-15559.731182855494
26,-13237.399125258205
27,-9399.280929796794
28,-14333.769718847003
29,-3912.6972848387873
30,-3917.5070567525727
31,-1429.4570107945292
32,-950.7390142076799
33,-617.6939140844333
34,-22.41463877642508
35,-94.97385196787322
36,-585.0935249083992
37,-2237.3063735570045
38,-1405.7141423643463
39,-1146.9841078231595
40,-928.235229041496
41,-2326.243875681893
42,-2000.3580774007248
43,-1878.3528424224903
44,-2356.634267434555
45,-2417.755776291949
46,-2399.1034570503875
47,-2373.328301488012
48,-2145.605365256897
49,-2101.0803084984605
50,-2347.0293982766257
51,-2078.1727633523838
52,-2467.9525059793896
53,-1828.118126165735
54,-1808.4058332723096
55,-1747.8864943388655
56,-1436.6551081466985
57,-1333.6038847194702
58,-1164.2671347595253
59,-1138.1845822157754
60,-1405.8793889056478
61,-853.5107773067843
62,-773.5895503489796
63,-821.8685811835917
64,-691.2998096963308
65,-577.0950794316603
66,-492.6589350872331
67,-484.5655837216164
68,-426.75187552160827
69,-423.28258721085797
70,-306.8930993194103
71,-275.03578693038565
72,-307.2597475112582
73,-234.779839637612
74,-158.9440463385637
75,-179.44999913718888
76,-180.84740840474905
77,-147.5419782678425
78,-138.43252737107701
79,-110.68433752078938
80,-91.08838478760217
81,-95.59768686736345
82,-50.86141638105776
83,-71.0061718304022
84,-61.36193476824765
85,-49.599287559501086
86,-31.159645833199633
87,-42.529651626601684
88,-32.78013191258356
89,-32.34595148279234
90,-26.999963715977213
91,-22.05907786193435
92,-21.02447099147458
93,-12.949272763880733
94,-21.45127227278216
95,-12.004432345233997
96,-9.70635363043161
97,-9.770067975246542
98,-8.152735463818964
99,-5.600914944806704
100,-9.981599206432893
101,-5.763982273495617
102,-4.596508681463214
103,-3.7115738159302207
104,-7.151397607946871
105,-1.761055357372745
106,-1.6446618492133047
107,-1.4802574730848344
108,-1.1580048888158099
109,-1.8097771352424532
110,-0.9329549577555907
111,-0.32073085962415826
112,-1.1357055086173706
113,-0.4956390624737186
114,-0.11424391351913465
115,-0.033500479252488
116,0.15825796342653842
117,0.07414526582035197
118,0.14900209410292575
119,0.7541553146437668
120,0.3739200070665869
121,0.6299547688100755
122,0.4342350092753259
123,0.6831879000306713
124,0.6207459484975985
125,0.5707062242277939
126,0.629412176543265
127,0.7103527368406772
128,0.7707433859806233
129,0.8162107654552267
130,0.811722116992142
131,0.8494497672483214
132,0.83967846593442
133,0.8352504137918676
134,0.9018281890138418
135,0.8630843215512594
136,0.9205427495863103
137,0.902188548519729
138,0.9128078161173373
139,0.9045899216367241
140,0.9317123215770864
141,0.9157537802959099
142,0.9351760632943698
143,0.9381298785575899
144,0.9437495113803782
145,0.9519705243693078
146,0.9477205709781954
147,0.9417300193148643
148,0.9592239277968714
149,0.9591512229606239
150,0.9630392740858172
151,0.9619049210253976
152,0.9637984004860196
153,0.9659006956411064
154,0.9658229937060885
155,0.9695260863432402
156,0.9723350742753827
157,0.9713613725349051
158,0.9722906676964697
159,0.9751541735628908
160,0.973614055078678
161,0.9754611260643292
162,0.9751669922142527
163,0.9759872322555385
164,0.9761266624662623
165,0.9766612603277903
166,0.976681975451056
167,0.9769024341106116
168,0.9774386237789728
169,0.977367451748467
170,0.9776378023053781
171,0.977045383396482
172,0.9762144960143491
