Hari,Skor
1,-2.757885197981002
2,-0.14308470989179067
3,-185.78227882180545
4,-198.691541253587
5,-115496.17630733733
6,-49208.25875257816
7,-1997.230496168773
8,-22042.43128234159
9,-4206.654740436696
10,-2701.017051292848
11,-1488.9488114691485
12,-271.640992911627
13,-9.870572427304243
14,-45.122723107173414
15,-2.715100835154142
16,-152.59712668169828
17,-525.9367417599809
18,-2.2171591791532164
19,-208.6113364999491
20,-229.23320127349237
21,-276.9313474107743
22,-162.48181622522935
23,-182.18923689610824
24,-241.43966829016094
25,-16.29892885673329
26,-12.818153757626352
27,-13.829013670626072
28,-1.8082653395912995
29,-0.6228861697080184
30,0.9579974434089868
31,-18.165105548476628
32,-35.59289888205179
33,-39.875579194206054
34,-10.65627380710441
35,-18.371855865959528
36,0.3070577988119869
37,-0.7038872874930042
38,-2.3106400076880047
39,0.8367114518785647
40,0.7675879157766141
41,0.8305932482451628
42,0.650508758423975
43,-0.4291469291634429
44,-0.8970490875342485
45,-0.6379589014753431
46,-2.728681374367259
47,-2.7287792083828983
48,-1.633351558037603
49,-3.6393065088422203
50,-3.205180590864958
51,-2.7486634948115274
52,-3.0495334396207143
53,-2.8735929258891395
54,-2.2249119782701268
55,-2.3121923293909004
56,-0.8670060801760795
57,-0.10110855372756689
58,0.2777763946198244
59,0.043965431439530245
60,0.6120554084681159
61,0.6522662687715837
62,0.8306357958584618
63,0.7475054368795933
64,0.7717156318731588
65,0.7142322746069407
66,0.7772960474039537
67,0.6812699494464919
68,0.6821811258056194
69,0.5134175481364167
70,0.4278989785156897
71,0.5356017297713758
72,0.47666324944643934
73,0.39415368061989364
74,0.4138284931269154
75,0.3664743906331477
76,0.28729909374074847
77,0.3985150307833687
78,0.39503197417065294
79,0.40415413649603393
80,0.4987469105017325
81,0.4928047093559206
82,0.5203039291098303
83,0.46343654553100544
84,0.49461122525379864
85,0.6214050315908879
86,0.6539083131590595
87,0.6647938668390319
88,0.7386876975971473
89,0.7425892109954961
90,0.7753190812623747
91,0.8230706999374925
92,0.8628297393168464
93,0.8651751614322303
94,0.8679861168122791
95,0.9004087682702494
96,0.9179984967026815
97,0.9422994057378824
98,0.940170061630944
99,0.9553764606725293
100,0.9469289937607787
101,0.963915095445113
102,0.9692701133035717
103,0.9725667323162324
104,0.9723403920205149
105,0.9804519060181676
106,0.984481265770925
107,0.9791564081863127
108,0.9814736266421137
109,0.9892661238641399
110,0.9905421621735166
111,0.9908029949665367
112,0.9911871085072061
113,0.9919679598273359
114,0.9893217102694465
115,0.9924492347921706
116,0.9928996295244972
117,0.9935014777536074
118,0.9935921861858513
119,0.9939184984200067
120,0.9939792674449107
121,0.9938681500080047
