Hari,Skor
1,-4.388071405284719
2,-4.388010558539694
3,-4.388014766440244
4,-4.388014766440244
5,-4.387521865929183
6,-4.387243758076645
7,-4.3860531857673415
8,-4.384989670068949
9,-4.3836912854735415
10,-4.3801440443398
11,-4.376127363081672
12,-4.370957316803804
13,-4.364919075508117
14,-4.356893697133514
15,-4.347703273334929
16,-4.335788533977174
17,-4.322454694312997
18,-4.305062367856393
19,-4.306011939718933
20,-4.264481748943056
21,-4.250487330990008
22,-4.222021945660894
23,-4.184982313872671
24,-4.15366733565202
25,-4.114921558601923
26,-4.1620057134961534
27,-4.046070588935694
28,-3.996883767885919
29,-3.952317650952823
30,-3.9150988772269733
31,-3.8614495784736427
32,-3.870235506934245
33,-3.7490053303204904
34,-3.727068890007728
35,-3.640382595844903
36,-3.590757833144206
37,-3.5905300148581345
38,-3.539316823085815
39,-3.4059670120939387
40,-3.3399063649125216
41,-3.28529393492341
42,-3.211320727424469
43,-3.144266528919407
44,-3.1246070702804305
45,-3.1349322761391623
46,-3.0206740237009786
47,-2.8807773826414
48,-2.8333243248978217
49,-2.760061173268668
50,-2.6660921665293453
51,-2.642213464181365
52,-2.5573805120106
53,-2.5941661789886457
54,-2.5787637261334546
55,-2.4817757091041157
56,-2.437318694998458
57,-2.38279349206154
58,-2.2310857055291646
59,-1.968231836976413
60,-2.0469585278987017
61,-1.8466861511178116
62,-1.7493959551087381
63,-1.7653358644064316
64,-1.6868693557684225
65,-1.64368854431812
66,-1.5204438546196082
67,-1.395783651720071
68,-1.2201621259042654
69,-1.0985624515884687
70,-0.8813503204889761
71,-0.9999466470057987
72,-0.9688194806462209
73,-0.762615376712912
74,-0.7792631230807252
75,-0.542710405806323
76,-0.7299137340251098
77,-0.2719838301750179
78,-0.3504493697011162
79,-0.13743423934422716
80,0.0070964084729274735
81,-0.10540015143298342
82,0.1437184104549255
83,0.23849579302146184
84,0.4180658455076497
85,0.6141785945424278
86,0.7018286510337913
87,0.5557123883524064
88,0.723751509625681
89,0.7941679883315639
