Hari,Skor
1,-2.8665657897049455
2,-2.8665203481688524
3,-2.866480103429934
4,-2.8664305553797638
5,-2.8663720690715877
6,-2.866271715387033
7,-2.8661652020952006
8,-2.8661013455264794
9,-2.8658627361431366
10,-2.8656653242248216
11,-2.8653917032572207
12,-2.8650949618982757
13,-2.8647408419861704
14,-2.864332508891405
15,-2.86386570622903
16,-2.8633645174674967
17,-2.863205961351305
18,-2.861776542548608
19,-2.860977135682512
20,-2.8603087898118935
21,-2.858775738613448
22,-2.857636339665735
23,-2.8561478022748696
24,-2.8546188415409772
25,-2.856136319361281
26,-2.8512288781683406
27,-2.8491871436067147
28,-2.846758696161915
29,-2.844127859367564
30,-2.844192190195423
31,-2.839421093981155
32,-2.838882267517931
33,-2.841682631240095
34,-2.8321872356966207
35,-2.825806680519405
36,-2.824809735517569
37,-2.818779618465649
38,-2.811029015158704
39,-2.805855383459925
40,-2.8051812162390126
41,-2.7940652273444666
42,-2.800859097064324
43,-2.779873720765685
44,-2.7734437307675406
45,-2.7636287192670967
46,-2.75578482103435
47,-2.74790347684518
48,-2.738075315272781
49,-2.746614387059507
50,-2.716064739757882
51,-2.7151215951834757
52,-2.6883874098854896
53,-2.6820048656921744
54,-2.6773424402391233
55,-2.6452790352210696
56,-2.669697888846201
57,-2.6162671773846924
58,-2.627570889476777
59,-2.5946206312554234
60,-2.5767903365460847
61,-2.542736767510438
62,-2.5212687484761216
63,-2.538458866056816
64,-2.475017024085808
65,-2.4577438147030923
66,-2.4425297400753068
67,-2.449559125933397
68,-2.411721410773932
69,-2.3629611373206583
70,-2.3408090314669123
71,-2.306361820612793
72,-2.292443460353376
73,-2.249891370895112
74,-2.2545979147197452
75,-2.198235068126775
76,-2.184447299165471
77,-2.1713249574717253
78,-2.0964961079174698
79,-2.0728250361762464
80,-2.0653441891786883
81,-2.0223705842441055
82,-2.0520937628587106
83,-1.9387358383841198
84,-1.9706662951882898
85,-1.874794902046617
86,-1.9350304780917131
87,-1.8476328496900303
88,-1.7715922574102425
89,-1.7511856486965347
90,-1.690443957007886
91,-1.6661214623501763
92,-1.6076994029585525
93,-1.5767962889038771
94,-1.570893394421566
95,-1.4865634402466297
96,-1.5158493252145093
97,-1.4529984532864226
98,-1.3981759836350407
99,-1.3673265755275406
100,-1.3169943844648122
101,-1.2375697051011225
102,-1.1689404149125866
103,-1.1461890935718602
104,-1.078021239084511
105,-1.0254655200313065
106,-1.01712154000267
107,-1.1601851423393228
108,-0.8881597388903786
109,-0.8634490698911819
110,-0.8072210558814161
111,-0.8470067718930363
112,-0.6921074259969422
113,-0.6473402885486312
114,-0.6066617224220341
115,-0.5315336439983842
116,-0.4436463046384984
117,-0.4515829871163186
118,-0.38075352207947954
119,-0.3638553833345739
120,-0.2533906575370948
121,-0.24326645635947375
122,-0.14824449370914583
123,-0.24846372074211187
124,0.020488075122575555
125,0.00011279163116784119
126,-0.09805405317457883
127,0.1364260038583397
128,0.18074687276685186
129,0.24405139693968625
130,0.33026448230462346
131,0.2657371631826506
132,0.4572596586020711
133,0.41135892385022976
134,0.5837883953501758
135,0.5945715047156696
136,0.7283298153965231
137,0.8219227085475843
138,0.8708641884970962
139,0.8118653756755052
140,0.8747894246411875
141,0.9695826391302148
