Hari,Skor
1,-3.7906629402900753
2,-3.7906612878587254
3,-3.7906585057278415
4,-3.7906546650262634
5,-3.7906493428905126
6,-3.7906421424921133
7,-3.7906310998024573
8,-3.7906150709641855
9,-3.7906144409664524
10,-3.7905584002577584
11,-3.790512743212693
12,-3.7904534020885308
13,-3.7903749093287944
14,-3.7904511584642577
15,-3.7900620418547417
16,-3.7898500379626627
17,-3.789500583269655
18,-3.7890943884963635
19,-3.789087719573235
20,-3.787993142998914
21,-3.7871977718895042
22,-3.78606911175593
23,-3.784772239836397
24,-3.783350162370545
25,-3.784750755562526
26,-3.781324329979232
27,-3.77692575667983
28,-3.774002724717037
29,-3.77143197135051
30,-3.7681603943423196
31,-3.7670118558948396
32,-3.759713274510535
33,-3.753489589061193
34,-3.7535569217369718
35,-3.743402270002832
36,-3.7424383308937044
37,-3.7380513268873354
38,-3.725352197884856
39,-3.721683181582195
40,-3.7135331659590847
41,-3.695315027958622
42,-3.6953125357519383
43,-3.686059450817865
44,-3.6640396306193272
45,-3.6516510438417304
46,-3.6421620799198777
47,-3.6225600135064324
48,-3.6092059034848907
49,-3.5940191762766487
50,-3.578160341851058
51,-3.6112308938806263
52,-3.5528843860323382
53,-3.540898882883294
54,-3.500110985067244
55,-3.501976335249215
56,-3.5223022349643207
57,-3.4413143733500675
58,-3.4182008061463067
59,-3.440899206722893
60,-3.370340794803422
61,-3.3417252826416
62,-3.316009206673251
63,-3.29510655384213
64,-3.2762832087674525
65,-3.2422470893816273
66,-3.209573466510201
67,-3.222201164920654
68,-3.186506452257217
69,-3.140373359363976
70,-3.1050395256421597
71,-3.091956288440425
72,-3.0536094362631676
73,-3.0026731156524358
74,-2.9657783365264994
75,-2.9936594204054576
76,-2.9332623344372153
77,-2.8691526440752755
78,-2.8390346718689443
79,-2.821432485780563
80,-2.7697633801948904
81,-2.7329260326585016
82,-2.701986080703612
83,-2.645712810325616
84,-2.611888019882654
85,-2.5905132206042785
86,-2.568551490083935
87,-2.5012313459102558
88,-2.5020729296818933
89,-2.437257107365173
90,-2.372750412919247
91,-2.3460804993490325
92,-2.3828269079629236
93,-2.315181728951167
94,-2.217038045380204
95,-2.1787801622929464
96,-2.1321975737301244
97,-2.1838952979959148
98,-2.0610343108814106
99,-2.056396162988448
100,-1.9858674666735627
101,-1.9579435098523073
102,-1.9227644215806898
103,-1.8432055259993878
104,-1.8099519831412385
105,-1.7768849095684622
106,-1.7188293235439316
107,-1.8084866324024742
108,-1.7459858984068837
109,-1.6048938684310565
110,-1.5388943135429862
111,-1.5345505142929423
112,-1.4625223629142021
113,-1.4175387143061662
114,-1.414187122559492
115,-1.3268808587105965
116,-1.363078753959802
117,-1.235112373705098
118,-1.247642144184275
119,-1.1401645075807818
120,-1.1118810712433191
121,-1.0905615722059059
122,-0.9867766047050834
123,-0.9515812655850573
124,-0.9111960407708994
125,-0.9377863938387847
126,-0.9091272569242712
127,-0.8516805150716853
128,-0.7559511655339213
129,-0.6709452857072822
130,-0.7058413999948578
131,-0.5954937709053343
132,-0.5172279820237655
133,-0.4565922928218349
134,-0.5011495423244698
135,-0.413375127863302
136,-0.31906554228671014
137,-0.2761859111133551
138,-0.3276310959034707
139,-0.2416947993796681
140,-0.1268004096814308
141,-0.1119803312654235
142,-0.16389391255215346
143,0.02028989606463205
144,0.06394005674643655
145,0.03858139912983094
146,0.11765931275854002
147,0.20375741369449496
148,0.23583184584509875
149,0.26709796790512885
150,0.37153105384200835
151,0.3453874498189051
152,0.4197252893721769
153,0.5163760225040381
154,0.5126481579508908
155,0.649415558706063
156,0.7005203515996226
157,0.582363330280559
158,0.7176229616592759
159,0.7227187186688664
160,0.8976540126734684
161,0.9512249735708823
162,0.8666514502801391
