Hari,Skor
1,-1.9495961395797936
2,-1.9495961395797936
3,-36.237257094231836
4,-26.336134577758905
5,-33379.37973150676
6,-71.29466228083662
7,-4.856372494080449
8,-2019.7306740291353
9,-1963.8505869589137
10,-3.9625616463814692
11,-319.3330793821961
12,-37.799006429099514
13,-0.5518281152288826
14,-18.446201329289547
15,-3.876008351142244
16,-15.862562640222816
17,-27.463219408379572
18,-20.327661710631226
19,-14.274808834154022
20,-15.620048392131999
21,-10.583152753399952
22,-8.481044675292077
23,-8.46941117551293
24,-8.603253488829617
25,-2.754011202244263
26,-2.5261382602194757
27,-1.7271755733404253
28,-1.4401547370282297
29,-0.27779009147654365
30,-0.21690512431568232
31,-0.22734049527487943
32,0.3924793081629129
33,0.7252640955355814
34,0.9405625147362306
35,0.9205621894408614
36,0.9850942857261976
37,0.979549922780292
38,0.9610910361449354
39,0.9811777944659993
40,0.989015269790368
41,0.9886822685437311
42,0.9860572562519206
43,0.9894462982764705
44,0.9913352176069924
45,0.988827172060674
46,0.9917543894665224
47,0.9917745172169613
48,0.9916087360797544
