Hari,Skor
1,-0.8077576449439061
2,0.17432903241182363
3,-62.05816761960148
4,-246.6253317015824
5,-244087.94444941916
6,-107041.3461637184
7,-514.2913895838595
8,-6306.192157750545
9,-2973.1504483691588
10,-3531.660035426456
11,-3354.081839109175
12,-767.4923096176292
13,-0.5781092730605812
14,-42.05389191820019
15,-11.432400612047608
16,-62.40997017176522
17,-106.19961315850117
18,-223.36617190303386
19,-161.29905583754672
20,-27.56401280430788
21,-1.519293885327142
22,-24.992658323677812
23,-45.242601228056415
24,-114.80915981726251
25,-136.36275718435823
26,-120.70948381432055
27,-157.49868771513545
28,-153.40714741097506
29,-163.94216724905164
30,-140.84238676305245
31,-171.0167750916181
32,-155.22849523608426
33,-155.3485065880956
34,-113.47508850017203
35,-101.23482971721931
36,-78.96034372510358
37,-79.62744153085931
38,-63.43532238338085
39,-50.249253647347125
40,-37.28406609772766
41,-42.62897903972021
42,-31.254802471202268
43,-25.058044318456446
44,-24.03977551564749
45,-11.98681133482974
46,-6.754831094181995
47,-8.342989867690651
48,-6.149303743379042
49,-3.0959080351049293
50,-5.388493602876098
51,-4.030664540397812
52,-4.126176620181705
53,-1.6608233591963253
54,-1.3155024355191496
55,-1.2022863328971565
56,-0.5674162941799061
57,-0.2566368898227551
58,-0.6093486147913281
59,0.016068847579887247
60,-0.01686408551515517
61,-0.13832272672010948
62,0.32254199292663965
63,0.1226523188122115
64,0.503806128913333
65,0.3682640804263644
66,0.37626296913844814
67,0.3431284660200282
68,0.5270855298367283
69,0.6332989908073344
70,0.539769989074327
71,0.45127627075416643
72,0.7926940766431136
73,0.7059055415277689
74,0.7003344476015758
75,0.7350058250845104
76,0.7933488761324983
77,0.8141325068782469
78,0.892203073128421
79,0.8456935890059047
80,0.7899351477650818
81,0.8206789543296475
82,0.8313757083724154
83,0.8298432967321732
84,0.8550572459172631
85,0.8704753179512938
86,0.903076829038473
87,0.8917099889881497
88,0.9115725798660829
89,0.8946786864674735
90,0.9246194393322045
91,0.9095818924344939
92,0.9296843459439347
93,0.9449047306243629
94,0.9505118369062339
95,0.9447471149773908
96,0.9435621863257978
97,0.9641541457294786
98,0.9727533815155521
99,0.9684613851387739
100,0.9680915463487446
101,0.9736200618227937
102,0.9788053877020513
103,0.9761105798711017
104,0.9843425574032104
105,0.9860777874973834
106,0.9835591740080094
107,0.9906947034664901
108,0.9953433551009992
109,0.9938858170481978
110,0.997530431608848
111,0.9968844288753569
112,0.9980243010054871
113,0.9980586532768178
114,0.9982374701675154
115,0.997998678279424
116,0.9966919441318437
117,0.9974733981620464
118,0.997727311721193
119,0.9969505851565328
120,0.9972188049718007
121,0.9975755807688869
122,0.9969306665180906
123,0.996859590021063
124,0.9972732335788052
125,0.9972392826803792
126,0.9966990495758651
127,0.9969556648316641
128,0.9964493462081423
129,0.9964614439753963
130,0.9961791969540594
131,0.9963889349339534
132,0.9963193517203152
133,0.996336155053287
134,0.9964605836572482
135,0.9965367089673867
136,0.9968094916468093
137,0.9970832597749325
138,0.9973268999041608
139,0.9976550882909027
140,0.9978723550347078
141,0.9980529166650245
142,0.9982422382725049
143,0.9984123467129028
144,0.9984489595939228
145,0.9984308538264143
146,0.9984192707181154
